name,stra.14151,stra.14152,stra.14153,stra.14154,stra.13321,stra.14642
112,0.000142384,6.66E-05,3.41E-05,1.88E-05,5.22E-05,1.58E-04
113,0.000145929,6.83E-05,3.50E-05,1.93E-05,5.13E-05,1.54E-04
114,0.000149512,7.00E-05,3.59E-05,1.98E-05,5.04E-05,1.50E-04
115,0.000153133,7.18E-05,3.68E-05,2.04E-05,4.95E-05,1.45E-04
116,0.000156792,7.36E-05,3.78E-05,2.09E-05,4.86E-05,1.41E-04
117,0.000160488,7.54E-05,3.87E-05,2.14E-05,4.77E-05,1.37E-04
118,0.000164223,7.72E-05,3.97E-05,2.20E-05,4.68E-05,1.34E-04
119,0.000167995,7.90E-05,4.07E-05,2.25E-05,4.59E-05,1.30E-04
120,0.000171806,8.09E-05,4.16E-05,2.31E-05,4.50E-05,1.27E-04
121,0.000175654,8.28E-05,4.26E-05,2.37E-05,4.41E-05,1.23E-04
122,0.000179539,8.47E-05,4.37E-05,2.43E-05,4.32E-05,1.20E-04
123,0.000183463,8.66E-05,4.47E-05,2.48E-05,4.24E-05,1.17E-04
124,0.000187424,8.86E-05,4.57E-05,2.54E-05,4.15E-05,1.14E-04
125,0.000191423,9.05E-05,4.68E-05,2.60E-05,4.07E-05,1.11E-04
126,0.000195459,9.25E-05,4.78E-05,2.66E-05,3.99E-05,1.08E-04
127,0.000199533,9.45E-05,4.89E-05,2.72E-05,3.90E-05,1.06E-04
128,0.000203645,9.65E-05,5.00E-05,2.78E-05,3.82E-05,1.03E-04
129,0.000207794,9.86E-05,5.10E-05,2.85E-05,3.74E-05,1.00E-04
130,0.00021198,0.000100654,5.22E-05,2.91E-05,3.66E-05,9.80E-05
131,0.000216204,0.00010274,5.33E-05,2.97E-05,3.58E-05,9.56E-05
132,0.000220466,0.000104846,5.44E-05,3.04E-05,3.51E-05,9.33E-05
133,0.000224764,0.000106972,5.55E-05,3.10E-05,3.43E-05,9.11E-05
134,0.0002291,0.000109118,5.67E-05,3.17E-05,3.35E-05,8.90E-05
135,0.000233473,0.000111284,5.78E-05,3.23E-05,3.28E-05,8.70E-05
136,0.000237884,0.00011347,5.90E-05,3.30E-05,3.21E-05,8.50E-05
137,0.000242331,0.000115676,6.02E-05,3.37E-05,3.14E-05,8.31E-05
138,0.000246816,0.000117903,6.14E-05,3.44E-05,3.07E-05,8.12E-05
139,0.000251338,0.000120149,6.26E-05,3.51E-05,3.00E-05,7.94E-05
140,0.000255897,0.000122416,6.38E-05,3.58E-05,2.93E-05,7.76E-05
141,0.000260493,0.000124702,6.50E-05,3.65E-05,2.86E-05,7.59E-05
142,0.000265126,0.000127009,6.63E-05,3.72E-05,2.79E-05,7.43E-05
143,0.000269795,0.000129335,6.75E-05,3.79E-05,2.73E-05,7.27E-05
144,0.000274502,0.000131682,6.88E-05,3.86E-05,2.67E-05,7.12E-05
145,0.000279245,0.000134048,7.01E-05,3.94E-05,2.60E-05,6.97E-05
146,0.000284026,0.000136435,7.13E-05,4.01E-05,2.54E-05,6.82E-05
147,0.000288843,0.000138841,7.26E-05,4.09E-05,2.48E-05,6.68E-05
148,0.000293696,0.000141268,7.40E-05,4.16E-05,2.42E-05,6.54E-05
149,0.000298586,0.000143714,7.53E-05,4.24E-05,2.36E-05,6.41E-05
150,0.000303513,0.00014618,7.66E-05,4.31E-05,2.31E-05,6.28E-05
151,0.000308476,0.000148667,7.80E-05,4.39E-05,2.25E-05,6.16E-05
152,0.000313476,0.000151173,7.93E-05,4.47E-05,2.20E-05,6.04E-05
153,0.000318512,0.000153698,8.07E-05,4.55E-05,2.14E-05,5.92E-05
154,0.000323584,0.000156244,8.20E-05,4.63E-05,2.09E-05,5.80E-05
155,0.000328693,0.000158809,8.34E-05,4.71E-05,2.04E-05,5.69E-05
156,0.000333837,0.000161394,8.48E-05,4.79E-05,1.99E-05,5.58E-05
157,0.000339018,0.000163999,8.63E-05,4.87E-05,1.94E-05,5.48E-05
158,0.000344235,0.000166624,8.77E-05,4.95E-05,1.89E-05,5.38E-05
159,0.000349489,0.000169268,8.91E-05,5.04E-05,1.84E-05,5.28E-05
160,0.000354778,0.000171932,9.06E-05,5.12E-05,1.79E-05,5.18E-05
161,0.000360103,0.000174616,9.20E-05,5.20E-05,1.75E-05,5.08E-05
162,0.000365463,0.000177319,9.35E-05,5.29E-05,1.70E-05,4.99E-05
163,0.00037086,0.000180042,9.50E-05,5.38E-05,1.66E-05,4.90E-05
164,0.000376292,0.000182785,9.65E-05,5.46E-05,1.62E-05,4.82E-05
165,0.00038176,0.000185546,9.80E-05,5.55E-05,1.58E-05,4.73E-05
166,0.000387264,0.000188328,9.95E-05,5.64E-05,1.53E-05,4.65E-05
167,0.000392803,0.000191129,0.000100993,5.73E-05,1.49E-05,4.57E-05
168,0.000398378,0.000193949,0.000102529,5.81E-05,1.46E-05,4.49E-05
169,0.000403988,0.000196789,0.000104077,5.90E-05,1.42E-05,4.41E-05
170,0.000409633,0.000199649,0.000105636,6.00E-05,1.38E-05,4.34E-05
171,0.000415313,0.000202527,0.000107206,6.09E-05,1.34E-05,4.27E-05
172,0.000421029,0.000205425,0.000108788,6.18E-05,1.31E-05,4.19E-05
173,0.00042678,0.000208343,0.000110381,6.27E-05,1.27E-05,4.13E-05
174,0.000432566,0.000211279,0.000111985,6.37E-05,1.24E-05,4.06E-05
175,0.000438387,0.000214235,0.0001136,6.46E-05,1.21E-05,3.99E-05
176,0.000444242,0.00021721,0.000115226,6.55E-05,1.17E-05,3.93E-05
177,0.000450133,0.000220204,0.000116864,6.65E-05,1.14E-05,3.86E-05
178,0.000456058,0.000223218,0.000118512,6.75E-05,1.11E-05,3.80E-05
179,0.000462018,0.00022625,0.000120172,6.84E-05,1.08E-05,3.74E-05
180,0.000468012,0.000229302,0.000121843,6.94E-05,1.05E-05,3.69E-05
181,0.000474041,0.000232373,0.000123525,7.04E-05,1.02E-05,3.63E-05
182,0.000480105,0.000235462,0.000125218,7.14E-05,9.96E-06,3.57E-05
183,0.000486203,0.000238571,0.000126923,7.24E-05,9.68E-06,3.52E-05
184,0.000492335,0.000241699,0.000128638,7.34E-05,9.42E-06,3.47E-05
185,0.000498501,0.000244845,0.000130364,7.44E-05,9.16E-06,3.41E-05
186,0.000504701,0.000248011,0.000132101,7.54E-05,8.91E-06,3.36E-05
187,0.000510936,0.000251195,0.00013385,7.64E-05,8.66E-06,3.31E-05
188,0.000517204,0.000254398,0.000135609,7.74E-05,8.42E-06,3.27E-05
189,0.000523506,0.00025762,0.000137379,7.85E-05,8.18E-06,3.22E-05
190,0.000529842,0.00026086,0.000139161,7.95E-05,7.95E-06,3.17E-05
191,0.000536212,0.000264119,0.000140953,8.06E-05,7.73E-06,3.13E-05
192,0.000542615,0.000267397,0.000142756,8.16E-05,7.51E-06,3.08E-05
193,0.000549052,0.000270694,0.00014457,8.27E-05,7.30E-06,3.04E-05
194,0.000555522,0.000274009,0.000146395,8.38E-05,7.10E-06,3.00E-05
195,0.000562026,0.000277342,0.00014823,8.48E-05,6.90E-06,2.95E-05
196,0.000568563,0.000280694,0.000150077,8.59E-05,6.70E-06,2.91E-05
197,0.000575133,0.000284065,0.000151934,8.70E-05,6.51E-06,2.87E-05
198,0.000581736,0.000287453,0.000153802,8.81E-05,6.32E-06,2.84E-05
199,0.000588373,0.000290861,0.000155681,8.92E-05,6.14E-06,2.80E-05
200,0.000595042,0.000294286,0.000157571,9.03E-05,5.97E-06,2.76E-05
201,0.000601744,0.00029773,0.000159471,9.14E-05,5.80E-06,2.72E-05
202,0.000608479,0.000301192,0.000161382,9.26E-05,5.63E-06,2.69E-05
203,0.000615246,0.000304672,0.000163304,9.37E-05,5.47E-06,2.65E-05
204,0.000622046,0.000308171,0.000165237,9.48E-05,5.31E-06,2.62E-05
205,0.000628879,0.000311687,0.00016718,9.60E-05,5.16E-06,2.58E-05
206,0.000635743,0.000315222,0.000169133,9.71E-05,5.01E-06,2.55E-05
207,0.000642641,0.000318774,0.000171098,9.83E-05,4.86E-06,2.52E-05
208,0.00064957,0.000322345,0.000173072,9.94E-05,4.72E-06,2.49E-05
209,0.000656531,0.000325934,0.000175058,0.000100607,4.58E-06,2.46E-05
210,0.000663525,0.00032954,0.000177054,0.000101783,4.45E-06,2.43E-05
211,0.00067055,0.000333164,0.00017906,0.000102965,4.32E-06,2.40E-05
212,0.000677608,0.000336806,0.000181077,0.000104153,4.19E-06,2.37E-05
213,0.000684697,0.000340466,0.000183105,0.000105348,4.07E-06,2.34E-05
214,0.000691817,0.000344143,0.000185143,0.00010655,3.95E-06,2.31E-05
215,0.000698969,0.000347838,0.000187191,0.000107758,3.83E-06,2.28E-05
216,0.000706153,0.000351551,0.000189249,0.000108972,3.72E-06,2.26E-05
217,0.000713368,0.000355281,0.000191318,0.000110193,3.61E-06,2.23E-05
218,0.000720614,0.000359029,0.000193398,0.00011142,3.50E-06,2.20E-05
219,0.000727891,0.000362794,0.000195487,0.000112653,3.39E-06,2.18E-05
220,0.0007352,0.000366577,0.000197587,0.000113893,3.29E-06,2.15E-05
221,0.000742539,0.000370377,0.000199698,0.00011514,3.19E-06,2.13E-05
222,0.000749909,0.000374195,0.000201818,0.000116392,3.10E-06,2.10E-05
223,0.00075731,0.000378029,0.000203949,0.000117651,3.01E-06,2.08E-05
224,0.000764742,0.000381881,0.00020609,0.000118917,2.92E-06,2.06E-05
225,0.000772204,0.00038575,0.000208241,0.000120188,2.83E-06,2.03E-05
226,0.000779697,0.000389636,0.000210402,0.000121466,2.74E-06,2.01E-05
227,0.00078722,0.00039354,0.000212573,0.000122751,2.66E-06,1.99E-05
228,0.000794773,0.00039746,0.000214754,0.000124041,2.58E-06,1.97E-05
229,0.000802357,0.000401397,0.000216946,0.000125338,2.50E-06,1.95E-05
230,0.00080997,0.000405351,0.000219147,0.000126641,2.43E-06,1.92E-05
231,0.000817614,0.000409322,0.000221359,0.00012795,2.35E-06,1.90E-05
232,0.000825287,0.00041331,0.00022358,0.000129266,2.28E-06,1.88E-05
233,0.00083299,0.000417315,0.000225811,0.000130587,2.21E-06,1.86E-05
234,0.000840723,0.000421336,0.000228053,0.000131915,2.14E-06,1.84E-05
235,0.000848485,0.000425374,0.000230304,0.000133249,2.08E-06,1.83E-05
236,0.000856277,0.000429429,0.000232565,0.000134589,2.01E-06,1.81E-05
237,0.000864098,0.0004335,0.000234836,0.000135936,1.95E-06,1.79E-05
238,0.000871949,0.000437588,0.000237117,0.000137288,1.89E-06,1.77E-05
239,0.000879828,0.000441692,0.000239407,0.000138647,1.83E-06,1.75E-05
240,0.000887737,0.000445813,0.000241707,0.000140011,1.78E-06,1.73E-05
241,0.000895674,0.00044995,0.000244018,0.000141382,1.72E-06,1.72E-05
242,0.000903641,0.000454103,0.000246337,0.000142759,1.67E-06,1.70E-05
243,0.000911636,0.000458273,0.000248667,0.000144142,1.62E-06,1.68E-05
244,0.00091966,0.000462459,0.000251006,0.000145531,1.57E-06,1.67E-05
245,0.000927712,0.000466661,0.000253354,0.000146925,1.52E-06,1.65E-05
246,0.000935793,0.000470879,0.000255713,0.000148326,1.47E-06,1.63E-05
247,0.000943902,0.000475113,0.00025808,0.000149733,1.43E-06,1.62E-05
248,0.000952039,0.000479363,0.000260458,0.000151146,1.38E-06,1.60E-05
249,0.000960204,0.000483629,0.000262845,0.000152565,1.34E-06,1.59E-05
250,0.000968397,0.000487911,0.000265241,0.000153989,1.30E-06,1.57E-05
251,0.000976619,0.000492209,0.000267647,0.00015542,1.26E-06,1.56E-05
252,0.000984868,0.000496523,0.000270062,0.000156857,1.22E-06,1.54E-05
253,0.000993144,0.000500852,0.000272487,0.000158299,1.18E-06,1.53E-05
254,0.00100145,0.000505197,0.000274921,0.000159747,1.14E-06,1.51E-05
255,0.00100978,0.000509558,0.000277364,0.000161201,1.10E-06,1.50E-05
256,0.00101814,0.000513934,0.000279817,0.000162661,1.07E-06,1.49E-05
257,0.00102653,0.000518326,0.000282279,0.000164127,1.04E-06,1.47E-05
258,0.00103494,0.000522733,0.00028475,0.000165598,1.00E-06,1.46E-05
259,0.00104338,0.000527156,0.00028723,0.000167076,9.72E-07,1.45E-05
260,0.00105185,0.000531594,0.00028972,0.000168559,9.41E-07,1.43E-05
261,0.00106034,0.000536047,0.000292219,0.000170048,9.11E-07,1.42E-05
262,0.00106886,0.000540516,0.000294726,0.000171542,8.82E-07,1.41E-05
263,0.00107741,0.000545,0.000297243,0.000173043,8.54E-07,1.40E-05
264,0.00108599,0.000549499,0.000299769,0.000174549,8.27E-07,1.39E-05
265,0.00109459,0.000554013,0.000302305,0.00017606,8.00E-07,1.37E-05
266,0.00110321,0.000558542,0.000304849,0.000177578,7.75E-07,1.36E-05
267,0.00111187,0.000563086,0.000307402,0.0001791,7.50E-07,1.35E-05
268,0.00112055,0.000567645,0.000309964,0.000180629,7.26E-07,1.34E-05
269,0.00112925,0.000572219,0.000312535,0.000182163,7.03E-07,1.33E-05
270,0.00113798,0.000576808,0.000315115,0.000183703,6.80E-07,1.32E-05
271,0.00114674,0.000581411,0.000317703,0.000185248,6.58E-07,1.31E-05
272,0.00115552,0.000586029,0.000320301,0.000186799,6.37E-07,1.29E-05
273,0.00116433,0.000590662,0.000322907,0.000188356,6.17E-07,1.28E-05
274,0.00117317,0.000595309,0.000325522,0.000189918,5.97E-07,1.27E-05
275,0.00118202,0.000599971,0.000328146,0.000191485,5.78E-07,1.26E-05
276,0.00119091,0.000604648,0.000330779,0.000193058,5.59E-07,1.25E-05
277,0.00119982,0.000609339,0.00033342,0.000194637,5.41E-07,1.24E-05
278,0.00120875,0.000614044,0.00033607,0.000196221,5.24E-07,1.23E-05
279,0.00121771,0.000618764,0.000338729,0.00019781,5.07E-07,1.22E-05
280,0.0012267,0.000623497,0.000341396,0.000199405,4.90E-07,1.21E-05
281,0.00123571,0.000628246,0.000344072,0.000201005,4.74E-07,1.20E-05
282,0.00124474,0.000633008,0.000346756,0.000202611,4.59E-07,1.19E-05
283,0.0012538,0.000637784,0.000349449,0.000204222,4.44E-07,1.19E-05
284,0.00126288,0.000642575,0.00035215,0.000205838,4.29E-07,1.18E-05
285,0.00127199,0.000647379,0.00035486,0.00020746,4.16E-07,1.17E-05
286,0.00128112,0.000652198,0.000357578,0.000209087,4.02E-07,1.16E-05
287,0.00129028,0.00065703,0.000360304,0.000210719,3.89E-07,1.15E-05
288,0.00129945,0.000661876,0.000363039,0.000212356,3.76E-07,1.14E-05
289,0.00130866,0.000666736,0.000365782,0.000213999,3.64E-07,1.13E-05
290,0.00131788,0.000671609,0.000368534,0.000215647,3.52E-07,1.12E-05
291,0.00132714,0.000676497,0.000371294,0.0002173,3.40E-07,1.12E-05
292,0.00133641,0.000681398,0.000374061,0.000218959,3.29E-07,1.11E-05
293,0.00134571,0.000686312,0.000376838,0.000220622,3.18E-07,1.10E-05
294,0.00135503,0.00069124,0.000379622,0.000222291,3.08E-07,1.09E-05
295,0.00136437,0.000696182,0.000382415,0.000223965,2.98E-07,1.08E-05
296,0.00137374,0.000701137,0.000385215,0.000225644,2.88E-07,1.08E-05
297,0.00138313,0.000706105,0.000388024,0.000227329,2.79E-07,1.07E-05
298,0.00139254,0.000711086,0.000390841,0.000229018,2.69E-07,1.06E-05
299,0.00140198,0.000716081,0.000393665,0.000230712,2.60E-07,1.05E-05
300,0.00141144,0.000721089,0.000396498,0.000232412,2.52E-07,1.05E-05
400,0.00142092,0.00072611,0.000399339,0.000234116,2.44E-07,1.04E-05
500,0.00246642,0.00128561,0.000718611,0.000427082,7.52E-09,5.97E-06
600,0.00364689,0.00192789,0.00109002,0.00065405,2.02E-10,4.13E-06
700,0.00489598,0.00261679,0.00149266,0.000902251,5.09E-12,3.16E-06
800,0.00616995,0.00332785,0.00191208,0.00116273,1.27E-13,2.56E-06
900,0.00744117,0.00404514,0.0023387,0.00142942,3.20E-15,2.16E-06
1000,0.00869262,0.00475851,0.00276625,0.00169832,8.30E-17,1.87E-06
1100,0.00991419,0.00546162,0.00319071,0.00196679,2.23E-18,1.65E-06
1200,0.0111002,0.00615067,0.00360956,0.00223313,6.28E-20,1.48E-06
1300,0.012248,0.00682352,0.00402126,0.00249627,1.85E-21,1.34E-06
1400,0.0133565,0.00747909,0.00442498,0.00275558,5.71E-23,1.22E-06
1500,0.0144258,0.00811702,0.0048203,0.00301071,1.85E-24,1.13E-06
1600,0.015457,0.00873741,0.0052071,0.00326151,6.30E-26,1.04E-06
1700,0.0164512,0.00934061,0.00558545,0.00350794,2.25E-27,9.73E-07
1800,0.01741,0.00992716,0.00595552,0.00375005,8.43E-29,9.09E-07
1900,0.018335,0.0104977,0.00631758,0.00398796,3.31E-30,8.54E-07
2000,0.0192278,0.0110529,0.00667192,0.0042218,1.36E-31,8.04E-07
2100,0.02009,0.0115934,0.00701885,0.00445172,5.82E-33,7.59E-07
2200,0.0208526,0.0120808,0.00733586,0.00466389,2.70E-34,7.21E-07
2300,0.0216293,0.0125747,0.00765573,0.0048771,1.38E-35,6.94E-07
2400,0.0224131,0.013077,0.007983,0.00509638,7.05E-37,6.64E-07
2500,0.0231455,0.0135498,0.00829244,0.00530426,3.76E-38,6.35E-07
2600,0.0238438,0.0139996,0.00858588,0.00550074,2.06E-39,6.11E-07
2700,0.0245169,0.014437,0.00887288,0.00569362,1.19E-40,5.91E-07
2800,0.0251709,0.0148615,0.0091511,0.00588039,7.11E-42,5.72E-07
2900,0.0257607,0.0152543,0.009413,0.00605848,4.31E-43,5.50E-07
3000,0.0263849,0.0156685,0.00968867,0.00624574,2.74E-44,5.30E-07
3100,0.0268972,0.0160135,0.00991953,0.0064026,1.82E-45,5.12E-07
3200,0.027506,0.0164224,0.0101937,0.00658974,1.25E-46,4.98E-07
3300,0.0280625,0.0168025,0.0104514,0.00676708,8.98E-48,4.83E-07
