name,stra.13321,stra.13442,stra.13453,stra.13563,stra.13684,stra.14642,stra.14153
300,2.91E-05,0.000231572,0.000367728,0.000643005,0.000887859,6.76E-07,4.10E-04
400,2.88E-05,0.000230431,0.000366675,0.000642095,0.000888834,6.65E-07,4.13E-04
500,1.12E-05,0.00013966,0.000269536,0.00053649,0.000935328,1.62E-07,6.85E-04
600,4.81E-06,8.66E-05,0.000197717,0.000436173,0.000925729,5.30E-08,9.81E-04
700,2.30E-06,5.66E-05,0.000149542,0.000359412,0.000903504,2.07E-08,0.001277889
800,1.24E-06,3.96E-05,0.000118607,0.000306815,0.000892128,9.02E-09,0.001552238
900,7.50E-07,3.00E-05,9.97E-05,0.000275239,0.000905983,4.20E-09,0.001781027
1000,5.16E-07,2.48E-05,8.96E-05,0.000262278,0.000957669,2.02E-09,0.00194117
1100,4.04E-07,2.26E-05,8.68E-05,0.00026784,0.00106372,9.80E-10,0.002010139
1200,3.61E-07,2.28E-05,9.10E-05,0.000295313,0.00125106,4.66E-10,0.001968016
1300,3.72E-07,2.55E-05,0.000103841,0.000353548,0.0015667,2.11E-10,0.001802181
1400,4.39E-07,3.19E-05,0.000129418,0.000460855,0.00209439,8.75E-11,0.001515775
1500,5.92E-07,4.44E-05,0.000175783,0.000652687,0.00298183,3.19E-11,0.001139016
1600,8.98E-07,6.79E-05,0.000258065,0.000995013,0.00447961,9.64E-12,7.36E-04
1700,1.50E-06,0.000112003,0.000402894,0.00160417,0.00697947,2.25E-12,3.90E-04
1800,2.67E-06,0.000194117,0.000653741,0.00266917,0.0110159,3.77E-13,1.61E-04
1900,4.93E-06,0.000343514,0.00107521,0.00446583,0.0171842,4.23E-14,4.95E-05
2000,9.16E-06,0.00060589,0.00175412,0.00735104,0.0259699,3.02E-15,1.11E-05
2100,1.68E-05,0.00104755,0.00279632,0.011734,0.0375599,1.33E-16,1.81E-06
2200,3.02E-05,0.00176055,0.00432287,0.0180378,0.0517057,3.60E-18,2.16E-07
2300,5.29E-05,0.00286848,0.00646393,0.026683,0.0678554,5.91E-20,1.94E-08
2400,8.98E-05,0.00451313,0.00930415,0.0379275,0.0850077,5.83E-22,1.34E-09
2500,0.000147593,0.00685215,0.0129446,0.0518104,0.10179,3.49E-24,7.35E-11
2600,0.000234781,0.0100585,0.0174337,0.0682452,0.117064,1.26E-26,3.27E-12
2700,0.000364089,0.0143579,0.0227882,0.087132,0.129975,2.81E-29,1.19E-13
2800,0.000550614,0.0199466,0.0289613,0.107964,0.139536,3.87E-32,3.64E-15
2900,0.000814116,0.0270658,0.0358997,0.130468,0.145782,3.28E-35,9.44E-17
3000,0.00117328,0.0357636,0.0433472,0.153306,0.147782,1.72E-38,2.10E-18
3100,0.00165936,0.0463181,0.0512932,0.176267,0.146269,5.61E-42,4.08E-20
3200,0.00230278,0.058821,0.0595262,0.198515,0.141588,1.13E-45,6.95E-22
3300,0.00313855,0.0732985,0.0677125,0.219103,0.134089,1.39E-49,1.05E-23
3400,0.00420966,0.0898386,0.0757947,0.237661,0.124659,1.06E-53,1.41E-25
3500,0.00555963,0.108359,0.0834575,0.253478,0.113822,4.95E-58,1.71E-27
3600,0.00723425,0.128723,0.0904677,0.2661,0.102201,1.42E-62,1.87E-29
3700,0.00928716,0.150828,0.096591,0.275431,0.090422,2.50E-67,1.85E-31
3800,0.0117756,0.174505,0.101946,0.281389,0.078914,2.69E-72,1.69E-33
3900,0.0147448,0.199322,0.106167,0.283665,0.0679086,1.76E-77,1.41E-35
4000,0.0182493,0.22497,0.109176,0.282445,0.057683,7.05E-83,1.08E-37
4100,0.0223678,0.25144,0.111205,0.278416,0.048483,1.74E-88,7.77E-40
4200,0.0271689,0.278315,0.112085,0.271578,0.0402849,2.58E-94,5.14E-42
4300,0.0327149,0.305291,0.112019,0.262391,0.0331316,2.33E-100,3.18E-44
4400,0.038978,0.331498,0.110813,0.250996,0.0269764,1.26E-106,1.84E-46
4500,0.0461306,0.357251,0.108685,0.2381,0.021763,4.10E-113,9.92E-49
4600,0.0541519,0.381909,0.105736,0.224068,0.0174176,8.02E-120,5.06E-51
4700,0.0630871,0.405073,0.102055,0.20913,0.0138179,9.45E-127,2.43E-53
4800,0.0728532,0.425925,0.097682,0.193513,0.0108678,6.74E-134,1.11E-55
4900,0.0837622,0.445683,0.092963,0.178086,0.00849432,2.90E-141,4.79E-58
5000,0.0956935,0.463114,0.0879078,0.162614,0.00658065,7.46E-149,1.96E-60
5100,0.108571,0.478096,0.0825904,0.147588,0.00506972,1.12E-156,7.64E-63
5200,0.122437,0.490446,0.0770457,0.133053,0.00387753,9.87E-165,2.83E-65
5300,0.13759,0.501405,0.0716339,0.119555,0.00295612,5.10E-173,1.01E-67
5400,0.153549,0.509192,0.0661957,0.106729,0.00223923,1.57E-181,3.45E-70
5500,0.170457,0.514207,0.0608193,0.0947116,0.00168539,2.81E-190,1.13E-72
5600,0.188797,0.518172,0.0557129,0.0838672,0.00126556,2.93E-199,3.54E-75
5700,0.20757,0.518345,0.0506924,0.073705,0.000942712,1.79E-208,1.07E-77
5800,0.227749,0.516909,0.0459441,0.0645107,0.000698746,6.28E-218,3.08E-80
