name,stra.13321,stra.14642
55,8.737178729460015E-11,3.647801415487469E-5
56,6.200404088041198E-11,3.667379843651234E-5
57,4.3945900600803825E-11,3.687357346972859E-5
58,3.1108576952577124E-11,3.707722095923328E-5
59,2.199473202720732E-11,3.728463488823891E-5
60,1.553269731872858E-11,3.749572015663327E-5
61,1.0956636569874569E-11,3.771039138855566E-5
62,7.720081701291259E-12,3.792857188696855E-5
63,5.433660425730696E-12,3.8150192715918594E-5
64,3.8203254307881656E-12,3.837519189383948E-5
65,2.683220930267595E-12,3.8603513683534026E-5
66,1.882657398657612E-12,3.883510796642537E-5
67,1.3196391182538446E-12,3.906992969035149E-5
68,9.240979120660726E-13,3.9307938381618335E-5
69,6.465011411293615E-13,3.9549097713265644E-5
70,4.518750531957887E-13,3.9793375122571714E-5
71,3.1555434375108783E-13,4.004074147173384E-5
72,2.2016352050307045E-13,4.0291170746458365E-5
73,1.534759590667074E-13,4.0544639787875446E-5
74,1.0689743234907498E-13,4.08011280537836E-5
75,7.439332710121141E-14,4.106061740573742E-5
76,5.17306696323629E-14,4.1323091918935134E-5
77,3.594322216500659E-14,4.158853771224366E-5
78,2.495444137899245E-14,4.1856942796034236E-5
79,1.7312012738229548E-14,4.2128296935782224E-5
80,1.2001149716576313E-14,4.240259152964442E-5
81,8.313429807002326E-15,4.267981949843898E-5
82,5.754744117420987E-15,4.2959975186647444E-5
83,3.98076305203971E-15,4.3243054273220574E-5
84,2.751738160425915E-15,4.352905369111812E-5
85,1.9008774624308097E-15,4.381797155463798E-5
86,1.3122390945889884E-15,4.4109807093699796E-5
87,9.05292863764414E-16,4.440456059434918E-5
88,6.241482813372688E-16,4.47022333448292E-5
89,4.300452477366431E-16,4.5002827586645013E-5
90,2.961237290988265E-16,4.530634647011106E-5
91,2.0378386926251009E-16,4.56127940139271E-5
92,1.4015501978675966E-16,4.592217506838462E-5
93,9.633727639134227E-17,4.623449528184488E-5
94,6.618070626979826E-17,4.654976107017289E-5
95,4.54385133254908E-17,4.686797958884512E-5
96,3.1180046227285625E-17,4.71891587074823E-5
97,2.1384222067672034E-17,4.75133069865793E-5
98,1.465811913117496E-17,4.7840433656237035E-5
99,1.0042343183588683E-17,4.817054859671696E-5
100,6.876504393185434E-18,4.850366232065805E-5
101,4.706304106359173E-18,4.883978595681508E-5
102,3.2194041232044075E-18,4.917893123519202E-5
103,2.2011914619692863E-18,4.952111047345458E-5
104,1.5042860959621281E-18,4.986633656452083E-5
105,1.0275353359661992E-18,5.021462296523765E-5
106,7.015524101394452E-19,5.056598368606061E-5
107,4.787665075795756E-19,5.092043328166538E-5
108,3.2658096723988527E-19,5.127798684241907E-5
109,2.2267146426088985E-19,5.1638659986658114E-5
110,1.5175670672896876E-19,5.200246885371157E-5
111,1.0338174121729967E-19,5.236943009762759E-5
112,7.039719227060036E-20,5.273956088155334E-5
113,4.791651748968407E-20,5.311287887273321E-5
114,3.26014095961034E-20,5.348940223808657E-5
115,2.217233789023189E-20,5.386914964033169E-5
116,1.5073471344245512E-20,5.425214023463017E-5
117,1.0243406418384734E-20,5.463839366572047E-5
118,6.958369147762069E-21,5.5027930065519466E-5
