name,stra.14027,stra.14031,stra.14032,stra.14148,stra.14149,stra.14151,stra.14152,stra.14153,stra.14269,stra.14397,stra.14399,stra.14512,stra.14632,stra.14642
986300,2.66E-160,5.23E-17,2.16E-62,5.13E-66,7.00E-70,2.33E-19,6.69E-66,1.10E-09,1.45E-44,0.0577433,0.153896,0.107446,4.33E-25,0.501259
986400,2.22E-160,4.50E-17,1.86E-62,4.67E-66,6.44E-70,2.15E-19,6.20E-66,1.02E-09,1.39E-44,0.0578149,0.154158,0.108298,4.04E-25,0.49753
986500,0.000930682,3.88E-17,1.61E-62,4.25E-66,5.93E-70,2.00E-19,5.75E-66,9.47E-10,1.34E-44,0.057892,0.154419,0.109106,3.77E-25,0.495567
986600,0.000780121,3.34E-17,1.39E-62,3.88E-66,5.46E-70,1.85E-19,5.33E-66,8.78E-10,1.29E-44,0.057744,0.154045,0.109429,3.48E-25,0.495747
986700,0.000654731,2.88E-17,1.20E-62,3.54E-66,5.04E-70,1.72E-19,4.96E-66,8.17E-10,1.24E-44,0.0576348,0.153795,0.109261,3.11E-25,0.495935
986800,0.000550684,2.50E-17,1.04E-62,3.24E-66,4.66E-70,1.60E-19,4.62E-66,7.62E-10,1.20E-44,0.0577041,0.154004,0.109306,2.76E-25,0.494378
986900,0.000463317,2.17E-17,9.04E-63,2.97E-66,4.31E-70,1.49E-19,4.30E-66,7.11E-10,1.16E-44,0.0576445,0.153864,0.108954,2.42E-25,0.495515
987000,0.000389211,1.87E-17,7.83E-63,2.72E-66,3.98E-70,1.39E-19,4.01E-66,6.63E-10,1.11E-44,0.0577819,0.154292,0.109203,2.15E-25,0.494943
987100,0.000327029,1.62E-17,6.77E-63,2.48E-66,3.67E-70,1.29E-19,3.72E-66,6.15E-10,1.07E-44,0.0574292,0.15335,0.108366,1.88E-25,0.498321
987200,0.000274522,1.40E-17,5.86E-63,2.27E-66,3.39E-70,1.19E-19,3.46E-66,5.73E-10,1.03E-44,0.0573532,0.153179,0.108049,1.64E-25,0.499865
987300,0.000229537,1.21E-17,5.06E-63,2.07E-66,3.12E-70,1.11E-19,3.21E-66,5.32E-10,9.92E-45,0.0572511,0.15296,0.108633,1.44E-25,0.496709
987400,0.000193837,1.05E-17,4.40E-63,1.90E-66,2.89E-70,1.03E-19,2.99E-66,4.96E-10,9.57E-45,0.0568066,0.151657,0.106944,1.21E-25,0.503438
987500,0.00016235,9.01E-18,3.80E-63,1.73E-66,2.67E-70,9.58E-20,2.78E-66,4.61E-10,9.20E-45,0.0565505,0.151005,0.105704,1.03E-25,0.506135
987600,0.000135566,7.76E-18,3.28E-63,1.58E-66,2.46E-70,8.88E-20,2.58E-66,4.28E-10,8.84E-45,0.0564784,0.150882,0.105143,8.94E-26,0.507384
987700,0.000113378,6.69E-18,2.83E-63,1.44E-66,2.27E-70,8.26E-20,2.40E-66,3.99E-10,8.53E-45,0.0566913,0.151524,0.105364,7.83E-26,0.506833
987800,9.47E-05,5.76E-18,2.44E-63,1.31E-66,2.09E-70,7.66E-20,2.23E-66,3.71E-10,8.20E-45,0.0567068,0.151621,0.105273,6.85E-26,0.506799
