name,stra.13321,stra.13332,stra.13442,stra.14642
164,0.00882241,0.00752129,0.00998412,2.30E-10
165,0.0089023,0.00758481,0.010071,2.03E-10
166,0.00898272,0.00764868,0.0101585,1.80E-10
167,0.00906368,0.0077129,0.0102464,1.59E-10
168,0.00914517,0.00777746,0.0103348,1.41E-10
169,0.00922721,0.00784238,0.0104237,1.25E-10
170,0.00930979,0.00790764,0.010513,1.10E-10
171,0.00939291,0.00797326,0.0106029,9.74E-11
172,0.00947657,0.00803922,0.0106933,8.60E-11
173,0.00956078,0.00810554,0.0107842,7.60E-11
174,0.00964554,0.0081722,0.0108756,6.71E-11
175,0.00973084,0.00823922,0.0109674,5.92E-11
176,0.00981669,0.00830659,0.0110598,5.23E-11
177,0.0099031,0.00837431,0.0111527,4.61E-11
178,0.00999006,0.00844237,0.011246,4.07E-11
179,0.0100776,0.0085108,0.0113399,3.58E-11
180,0.0101656,0.00857957,0.0114342,3.16E-11
181,0.0102543,0.00864869,0.0115291,2.78E-11
182,0.0103434,0.00871817,0.0116244,2.45E-11
183,0.0104332,0.008788,0.0117203,2.16E-11
184,0.0105235,0.00885817,0.0118166,1.90E-11
185,0.0106144,0.00892871,0.0119135,1.67E-11
186,0.0107058,0.00899959,0.0120108,1.47E-11
187,0.0107978,0.00907082,0.0121087,1.29E-11
188,0.0108903,0.00914241,0.012207,1.14E-11
189,0.0109834,0.00921435,0.0123058,9.98E-12
190,0.0110771,0.00928664,0.0124052,8.77E-12
191,0.0111714,0.00935928,0.012505,7.70E-12
192,0.0112662,0.00943228,0.0126054,6.76E-12
193,0.0113616,0.00950563,0.0127062,5.93E-12
194,0.0114576,0.00957932,0.0128075,5.20E-12
195,0.0115541,0.00965337,0.0129094,4.56E-12
196,0.0116513,0.00972777,0.0130117,4.00E-12
197,0.011749,0.00980252,0.0131145,3.51E-12
198,0.0118472,0.00987763,0.0132179,3.07E-12
199,0.0119461,0.00995308,0.0133217,2.69E-12
200,0.0120455,0.0100289,0.013426,2.36E-12
201,0.0121455,0.010105,0.0135308,2.06E-12
202,0.0122461,0.0101815,0.0136361,1.80E-12
203,0.0123473,0.0102584,0.013742,1.58E-12
204,0.012449,0.0103356,0.0138483,1.38E-12
205,0.0125514,0.0104132,0.0139551,1.21E-12
206,0.0126543,0.0104911,0.0140624,1.05E-12
207,0.0127578,0.0105693,0.0141702,9.21E-13
208,0.0128619,0.0106479,0.0142785,8.04E-13
209,0.0129665,0.0107268,0.0143873,7.02E-13
210,0.0130718,0.0108061,0.0144965,6.13E-13
211,0.0131777,0.0108858,0.0146063,5.34E-13
212,0.0132841,0.0109658,0.0147166,4.66E-13
213,0.0133911,0.0110461,0.0148273,4.06E-13
214,0.0134987,0.0111268,0.0149386,3.54E-13
215,0.013607,0.0112078,0.0150503,3.09E-13
216,0.0137158,0.0112892,0.0151625,2.69E-13
217,0.0138252,0.0113709,0.0152753,2.34E-13
218,0.0139352,0.011453,0.0153885,2.04E-13
219,0.0140457,0.0115354,0.0155022,1.77E-13
220,0.0141569,0.0116181,0.0156164,1.54E-13
221,0.0142687,0.0117012,0.015731,1.34E-13
222,0.0143811,0.0117846,0.0158462,1.16E-13
223,0.014494,0.0118684,0.0159618,1.01E-13
224,0.0146076,0.0119525,0.016078,8.79E-14
225,0.0147218,0.012037,0.0161946,7.63E-14
226,0.0148365,0.0121218,0.0163117,6.62E-14
227,0.0149519,0.0122069,0.0164292,5.74E-14
228,0.0150679,0.0122924,0.0165473,4.98E-14
229,0.0151844,0.0123782,0.0166658,4.32E-14
230,0.0153016,0.0124643,0.0167849,3.75E-14
231,0.0154194,0.0125508,0.0169044,3.25E-14
232,0.0155377,0.0126376,0.0170243,2.81E-14
233,0.0156567,0.0127248,0.0171448,2.43E-14
234,0.0157763,0.0128123,0.0172657,2.11E-14
235,0.0158965,0.0129001,0.0173871,1.82E-14
236,0.0160172,0.0129883,0.017509,1.58E-14
237,0.0161386,0.0130768,0.0176314,1.36E-14
238,0.0162606,0.0131656,0.0177542,1.18E-14
239,0.0163832,0.0132548,0.0178775,1.02E-14
240,0.0165064,0.0133443,0.0180013,8.80E-15
241,0.0166302,0.0134341,0.0181255,7.60E-15
242,0.0167547,0.0135242,0.0182502,6.56E-15
243,0.0168797,0.0136147,0.0183754,5.66E-15
244,0.0170053,0.0137055,0.018501,4.88E-15
245,0.0171315,0.0137966,0.0186271,4.21E-15
246,0.0172584,0.0138881,0.0187537,3.63E-15
247,0.0173858,0.0139799,0.0188807,3.13E-15
248,0.0175139,0.014072,0.0190082,2.70E-15
249,0.0176426,0.0141644,0.0191362,2.32E-15
250,0.0177719,0.0142572,0.0192646,2.00E-15
251,0.0179017,0.0143502,0.0193935,1.72E-15
252,0.0180322,0.0144436,0.0195228,1.48E-15
253,0.0181633,0.0145373,0.0196526,1.27E-15
254,0.0182951,0.0146314,0.0197828,1.09E-15
255,0.0184274,0.0147257,0.0199135,9.40E-16
256,0.0185603,0.0148204,0.0200446,8.08E-16
257,0.0186939,0.0149154,0.0201762,6.94E-16
258,0.018828,0.0150107,0.0203083,5.96E-16
259,0.0189628,0.0151063,0.0204408,5.11E-16
260,0.0190982,0.0152023,0.0205737,4.39E-16
261,0.0192342,0.0152985,0.0207071,3.76E-16
262,0.0193708,0.0153951,0.0208409,3.23E-16
263,0.019508,0.0154919,0.0209752,2.77E-16
264,0.0196458,0.0155891,0.0211099,2.37E-16
265,0.0197843,0.0156866,0.0212451,2.03E-16
266,0.0199233,0.0157844,0.0213806,1.74E-16
267,0.020063,0.0158825,0.0215167,1.49E-16
268,0.0202032,0.0159809,0.0216531,1.27E-16
269,0.0203441,0.0160796,0.02179,1.09E-16
270,0.0204856,0.0161787,0.0219274,9.31E-17
271,0.0206277,0.016278,0.0220651,7.95E-17
272,0.0207705,0.0163776,0.0222033,6.80E-17
273,0.0209138,0.0164775,0.0223419,5.81E-17
274,0.0210577,0.0165778,0.022481,4.96E-17
275,0.0212023,0.0166783,0.0226205,4.23E-17
276,0.0213475,0.0167791,0.0227604,3.61E-17
277,0.0214932,0.0168803,0.0229007,3.08E-17
278,0.0216396,0.0169817,0.0230414,2.63E-17
279,0.0217866,0.0170834,0.0231826,2.24E-17
280,0.0219343,0.0171854,0.0233242,1.91E-17
281,0.0220825,0.0172877,0.0234662,1.63E-17
282,0.0222313,0.0173903,0.0236086,1.38E-17
283,0.0223808,0.0174932,0.0237514,1.18E-17
284,0.0225308,0.0175964,0.0238946,1.00E-17
285,0.0226815,0.0176998,0.0240383,8.53E-18
286,0.0228328,0.0178036,0.0241824,7.25E-18
287,0.0229847,0.0179076,0.0243268,6.17E-18
288,0.0231372,0.018012,0.0244717,5.24E-18
289,0.0232903,0.0181166,0.024617,4.45E-18
290,0.023444,0.0182215,0.0247626,3.78E-18
291,0.0235984,0.0183266,0.0249087,3.21E-18
292,0.0237533,0.0184321,0.0250552,2.72E-18
293,0.0239089,0.0185378,0.0252021,2.31E-18
294,0.0240651,0.0186439,0.0253493,1.96E-18
295,0.0242218,0.0187501,0.025497,1.66E-18
296,0.0243792,0.0188567,0.0256451,1.41E-18
297,0.0245372,0.0189636,0.0257935,1.19E-18
298,0.0246958,0.0190707,0.0259424,1.01E-18
299,0.024855,0.0191781,0.0260916,8.56E-19
300,0.0250149,0.0192857,0.0262412,7.24E-19
400,0.0251753,0.0193937,0.0263912,6.13E-19
500,0.0442223,0.0313476,0.0430309,6.47E-27
600,0.068805,0.0447822,0.0617213,3.19E-36
700,0.0981365,0.0585873,0.0808343,1.03E-46
800,0.13134,0.0718818,0.0990859,2.95E-58
900,0.167538,0.0840306,0.115565,9.70E-71
1000,0.205899,0.0946202,0.129696,4.55E-84
1100,0.245668,0.103422,0.141181,3.68E-98
1200,0.286178,0.110354,0.149937,6.04E-113
1300,0.326857,0.115439,0.156036,2.32E-128
1400,0.367222,0.118777,0.159657,2.38E-144
1500,0.406878,0.120519,0.161046,7.24E-161
1600,0.445506,0.12084,0.160483,7.29E-178
1700,0.482859,0.119929,0.158257,2.65E-195
1800,0.518749,0.117976,0.154656,3.80E-213
1900,0.553043,0.115164,0.14995,2.31E-231
2000,0.585652,0.111662,0.144386,6.38E-250
2100,0.616524,0.107626,0.138186,8.56E-269
2200,0.644873,0.103019,0.131389,5.94E-288
2300,0.672688,0.0983883,0.124571,2.30E-307
2400,0.69841,0.0935288,0.117579,4.9E-324
2500,0.721818,0.0884897,0.110398,4.9E-324
2600,0.743484,0.0834715,0.103381,4.9E-324
2700,0.764871,0.0786054,0.096641,4.9E-324
2800,0.784845,0.073804,0.0900709,4.9E-324
2900,0.802202,0.0690263,0.0836069,4.9E-324
3000,0.818871,0.0645074,0.0775175,4.9E-324
3100,0.834319,0.0601645,0.0717314,4.9E-324
3200,0.848427,0.0559814,0.0662515,4.9E-324
3300,0.861512,0.0520134,0.061095,4.9E-324
3400,0.873154,0.0482522,0.0562249,4.9E-324
3500,0.884354,0.0447229,0.0517111,4.9E-324
3600,0.894196,0.0413965,0.0474719,4.9E-324
3700,0.903598,0.0382913,0.0435509,4.9E-324
3800,0.91203,0.0353687,0.0399093,4.9E-324
3900,0.918299,0.0325901,0.0364795,4.9E-324
4000,0.926737,0.0301015,0.033421,4.9E-324
4100,0.933189,0.0277349,0.0305679,4.9E-324
4200,0.939152,0.0255496,0.0279268,4.9E-324
4300,0.944536,0.0235245,0.0254963,4.9E-324
4400,0.949458,0.0216459,0.0232605,4.9E-324
4500,0.95395,0.0199065,0.0212142,4.9E-324
4600,0.956934,0.0182772,0.0193129,4.9E-324
4700,0.96005,0.0167835,0.0175922,4.9E-324
4800,0.964046,0.0154265,0.0160342,4.9E-324
4900,0.967385,0.0141704,0.0146037,4.9E-324
5000,0.970107,0.0130043,0.0132927,4.9E-324
5100,0.972479,0.0119398,0.0121009,4.9E-324
5200,0.975572,0.0109652,0.0110201,4.9E-324
5300,0.977801,0.0100553,0.0100248,4.9E-324
5400,0.979801,0.00922284,0.00911627,4.9E-324
5500,0.981024,0.00845234,0.00828351,4.9E-324
5600,0.982341,0.00774627,0.00752866,4.9E-324
5700,0.984197,0.00710266,0.00684589,4.9E-324
5800,0.986034,0.00651369,0.00622517,4.9E-324
5900,0.987243,0.00597108,0.00565725,4.9E-324
6000,0.988463,0.0054705,0.00514098,4.9E-324
6100,0.989548,0.00501362,0.00467231,4.9E-324
6200,0.990276,0.0045931,0.00424327,4.9E-324
6300,0.991295,0.00420784,0.00385475,4.9E-324
6400,0.992123,0.00385511,0.00350144,4.9E-324
6500,0.99259,0.00352808,0.00317977,4.9E-324
6600,0.992349,0.00322658,0.00288511,4.9E-324
6700,0.993528,0.00295715,0.00262136,4.9E-324
6800,0.994297,0.00270837,0.00238086,4.9E-324
6900,0.995077,0.00248121,0.00216231,4.9E-324
7000,0.995108,0.00227063,0.00196228,4.9E-324
7100,0.995924,0.00208013,0.00178251,4.9E-324
