participant.id_in_session,rpd.round.1,rpd.round.2,rpd.round.3,rpd.round.4,rpd.round.5,rpd.round.6,rpd.round.7,rpd.round.8,rpd.round.9,rpd.round.10,rpd.round.11,rpd.round.12,rpd.round.13,rpd.round.14,rpd.round.15,rpd.round.16,rpd.round.17,rpd.round.18,rpd.round.19,rpd.round.20
95,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1
91,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
101,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
99,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
103,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
131,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1
161,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
157,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
159,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
169,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
165,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0
167,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
175,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1
