name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
75,0.000240793,0.000154275,0.000317023,0.000226502,0.000443482,0.000107984,2.49E-05,3.71E-04
76,0.000241985,0.000155619,0.000326104,0.000233589,0.00045715,0.000112232,2.60E-05,3.53E-04
77,0.000242967,0.000156829,0.000335028,0.000240599,0.000470667,0.000116491,2.70E-05,3.36E-04
78,0.000243751,0.000157912,0.000343796,0.00024753,0.000484033,0.000120762,2.81E-05,3.20E-04
79,0.000244348,0.000158872,0.000352409,0.000254383,0.000497245,0.000125042,2.92E-05,3.05E-04
80,0.000244768,0.000159717,0.000360866,0.000261157,0.000510306,0.000129332,3.02E-05,2.90E-04
81,0.000245022,0.00016045,0.000369169,0.000267851,0.000523213,0.00013363,3.13E-05,2.77E-04
82,0.000245119,0.000161079,0.000377319,0.000274465,0.000535967,0.000137936,3.24E-05,2.64E-04
83,0.000245067,0.000161606,0.000385316,0.000281,0.000548569,0.000142248,3.35E-05,2.52E-04
84,0.000244876,0.000162039,0.000393161,0.000287454,0.000561017,0.000146565,3.46E-05,2.40E-04
85,0.000244554,0.00016238,0.000400857,0.000293828,0.000573312,0.000150887,3.58E-05,2.29E-04
86,0.000244108,0.000162634,0.000408403,0.000300121,0.000585455,0.000155214,3.69E-05,2.19E-04
87,0.000243546,0.000162806,0.000415802,0.000306334,0.000597445,0.000159543,3.80E-05,2.09E-04
88,0.000242874,0.000162899,0.000423054,0.000312466,0.000609282,0.000163875,3.92E-05,2.00E-04
89,0.0002421,0.000162918,0.000430162,0.000318518,0.000620968,0.000168209,4.03E-05,1.91E-04
90,0.000241229,0.000162866,0.000437125,0.00032449,0.000632501,0.000172544,4.15E-05,1.83E-04
91,0.000240268,0.000162747,0.000443947,0.000330382,0.000643884,0.000176879,4.26E-05,1.75E-04
92,0.000239222,0.000162563,0.000450628,0.000336193,0.000655115,0.000181214,4.38E-05,1.67E-04
93,0.000238097,0.000162319,0.00045717,0.000341925,0.000666196,0.000185549,4.50E-05,1.60E-04
94,0.000236897,0.000162017,0.000463575,0.000347578,0.000677127,0.000189882,4.62E-05,1.53E-04
95,0.000235628,0.000161661,0.000469843,0.000353151,0.000687909,0.000194213,4.74E-05,1.47E-04
96,0.000234294,0.000161252,0.000475977,0.000358645,0.000698542,0.000198541,4.86E-05,1.41E-04
97,0.000232899,0.000160794,0.000481979,0.000364061,0.000709027,0.000202867,4.98E-05,1.35E-04
98,0.000231449,0.00016029,0.000487849,0.000369398,0.000719364,0.000207188,5.10E-05,1.29E-04
99,0.000229946,0.000159742,0.000493589,0.000374658,0.000729554,0.000211506,5.22E-05,1.24E-04
100,0.000228394,0.000159151,0.000499202,0.000379839,0.000739598,0.000215819,5.34E-05,1.19E-04
101,0.000226798,0.000158522,0.000504688,0.000384944,0.000749497,0.000220127,5.47E-05,1.14E-04
102,0.000225159,0.000157854,0.000510049,0.000389971,0.000759251,0.00022443,5.59E-05,1.09E-04
103,0.000223483,0.000157152,0.000515287,0.000394923,0.00076886,0.000228726,5.71E-05,1.05E-04
104,0.000221771,0.000156416,0.000520403,0.000399798,0.000778327,0.000233016,5.84E-05,1.01E-04
105,0.000220027,0.000155649,0.0005254,0.000404598,0.000787651,0.000237299,5.97E-05,9.70E-05
106,0.000218252,0.000154853,0.000530278,0.000409322,0.000796833,0.000241575,6.09E-05,9.32E-05
107,0.000216451,0.000154028,0.000535038,0.000413972,0.000805874,0.000245843,6.22E-05,8.96E-05
108,0.000214625,0.000153178,0.000539684,0.000418548,0.000814776,0.000250103,6.35E-05,8.62E-05
109,0.000212777,0.000152303,0.000544216,0.00042305,0.000823538,0.000254354,6.47E-05,8.29E-05
110,0.000210909,0.000151404,0.000548635,0.000427479,0.000832162,0.000258597,6.60E-05,7.98E-05
111,0.000209024,0.000150485,0.000552944,0.000431835,0.000840648,0.00026283,6.73E-05,7.68E-05
112,0.000207122,0.000149545,0.000557144,0.000436118,0.000848998,0.000267053,6.86E-05,7.40E-05
113,0.000205206,0.000148586,0.000561236,0.00044033,0.000857212,0.000271267,6.99E-05,7.12E-05
114,0.000203278,0.00014761,0.000565221,0.000444471,0.000865291,0.00027547,7.12E-05,6.86E-05
115,0.00020134,0.000146617,0.000569102,0.000448541,0.000873237,0.000279663,7.25E-05,6.61E-05
116,0.000199393,0.000145609,0.00057288,0.000452541,0.000881049,0.000283844,7.38E-05,6.37E-05
117,0.000197438,0.000144588,0.000576556,0.000456471,0.00088873,0.000288015,7.52E-05,6.14E-05
118,0.000195478,0.000143553,0.000580132,0.000460332,0.000896279,0.000292173,7.65E-05,5.93E-05
119,0.000193514,0.000142506,0.000583609,0.000464124,0.000903699,0.00029632,7.78E-05,5.72E-05
120,0.000191546,0.000141449,0.000586988,0.000467848,0.000910989,0.000300455,7.91E-05,5.51E-05
121,0.000189576,0.000140381,0.000590272,0.000471505,0.000918151,0.000304577,8.05E-05,5.32E-05
122,0.000187606,0.000139304,0.00059346,0.000475095,0.000925186,0.000308687,8.18E-05,5.14E-05
