name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13787,stra.13788,stra.13790,stra.13905,stra.13906,stra.13908,stra.14026,stra.14147,stra.13321
76,6.84E-05,5.76E-06,4.23E-05,2.44E-06,4.95E-09,3.62E-10,4.39E-12,2.30E-05,7.97E-07,7.68E-10,1.04E-05,3.54E-06,4.87E-12
77,7.04E-05,5.67E-06,4.35E-05,2.39E-06,4.36E-09,3.06E-10,3.46E-12,2.37E-05,7.73E-07,6.63E-10,1.07E-05,3.62E-06,3.59E-12
78,7.24E-05,5.58E-06,4.48E-05,2.34E-06,3.85E-09,2.59E-10,2.72E-12,2.43E-05,7.51E-07,5.73E-10,1.10E-05,3.71E-06,2.65E-12
79,7.44E-05,5.50E-06,4.61E-05,2.29E-06,3.40E-09,2.19E-10,2.15E-12,2.50E-05,7.29E-07,4.95E-10,1.13E-05,3.80E-06,1.95E-12
80,7.66E-05,5.43E-06,4.74E-05,2.25E-06,3.01E-09,1.85E-10,1.70E-12,2.57E-05,7.08E-07,4.28E-10,1.16E-05,3.89E-06,1.44E-12
81,7.89E-05,5.35E-06,4.88E-05,2.21E-06,2.66E-09,1.57E-10,1.34E-12,2.65E-05,6.88E-07,3.71E-10,1.19E-05,3.99E-06,1.06E-12
82,8.12E-05,5.28E-06,5.03E-05,2.16E-06,2.35E-09,1.33E-10,1.06E-12,2.73E-05,6.70E-07,3.21E-10,1.22E-05,4.10E-06,7.82E-13
83,8.37E-05,5.21E-06,5.18E-05,2.13E-06,2.09E-09,1.13E-10,8.37E-13,2.81E-05,6.52E-07,2.79E-10,1.26E-05,4.21E-06,5.76E-13
84,8.62E-05,5.15E-06,5.34E-05,2.09E-06,1.85E-09,9.61E-11,6.63E-13,2.90E-05,6.35E-07,2.42E-10,1.30E-05,4.32E-06,4.25E-13
85,8.89E-05,5.09E-06,5.51E-05,2.05E-06,1.64E-09,8.17E-11,5.25E-13,2.99E-05,6.19E-07,2.10E-10,1.34E-05,4.44E-06,3.13E-13
86,9.17E-05,5.03E-06,5.68E-05,2.02E-06,1.46E-09,6.95E-11,4.17E-13,3.08E-05,6.03E-07,1.82E-10,1.38E-05,4.57E-06,2.30E-13
87,9.46E-05,4.98E-06,5.86E-05,1.99E-06,1.29E-09,5.92E-11,3.31E-13,3.18E-05,5.89E-07,1.59E-10,1.42E-05,4.70E-06,1.70E-13
88,9.76E-05,4.93E-06,6.05E-05,1.96E-06,1.15E-09,5.04E-11,2.63E-13,3.28E-05,5.75E-07,1.38E-10,1.46E-05,4.84E-06,1.25E-13
89,0.000100794,4.88E-06,6.25E-05,1.93E-06,1.02E-09,4.30E-11,2.09E-13,3.39E-05,5.62E-07,1.21E-10,1.51E-05,4.98E-06,9.22E-14
90,0.000104105,4.84E-06,6.46E-05,1.90E-06,9.11E-10,3.67E-11,1.67E-13,3.50E-05,5.50E-07,1.05E-10,1.56E-05,5.14E-06,6.80E-14
91,0.000107568,4.80E-06,6.68E-05,1.88E-06,8.12E-10,3.14E-11,1.33E-13,3.62E-05,5.38E-07,9.19E-11,1.61E-05,5.30E-06,5.01E-14
92,0.000111192,4.77E-06,6.91E-05,1.85E-06,7.25E-10,2.69E-11,1.06E-13,3.74E-05,5.27E-07,8.03E-11,1.67E-05,5.47E-06,3.70E-14
93,0.000114987,4.73E-06,7.15E-05,1.83E-06,6.48E-10,2.30E-11,8.48E-14,3.88E-05,5.17E-07,7.03E-11,1.73E-05,5.65E-06,2.73E-14
94,0.000118964,4.70E-06,7.40E-05,1.81E-06,5.79E-10,1.97E-11,6.78E-14,4.01E-05,5.07E-07,6.16E-11,1.79E-05,5.84E-06,2.01E-14
95,0.000123134,4.68E-06,7.67E-05,1.79E-06,5.18E-10,1.70E-11,5.44E-14,4.16E-05,4.98E-07,5.41E-11,1.85E-05,6.04E-06,1.49E-14
96,0.000127508,4.65E-06,7.94E-05,1.77E-06,4.65E-10,1.46E-11,4.36E-14,4.31E-05,4.90E-07,4.75E-11,1.92E-05,6.25E-06,1.10E-14
97,0.000132101,4.64E-06,8.24E-05,1.76E-06,4.17E-10,1.25E-11,3.51E-14,4.47E-05,4.82E-07,4.18E-11,1.99E-05,6.47E-06,8.11E-15
98,0.000136926,4.62E-06,8.55E-05,1.75E-06,3.74E-10,1.08E-11,2.82E-14,4.64E-05,4.75E-07,3.68E-11,2.06E-05,6.71E-06,5.99E-15
99,0.000141998,4.61E-06,8.87E-05,1.73E-06,3.37E-10,9.34E-12,2.28E-14,4.82E-05,4.68E-07,3.25E-11,2.14E-05,6.96E-06,4.43E-15
100,0.000147334,4.60E-06,9.21E-05,1.72E-06,3.03E-10,8.07E-12,1.84E-14,5.01E-05,4.62E-07,2.87E-11,2.23E-05,7.22E-06,3.28E-15
101,0.000152953,4.60E-06,9.57E-05,1.72E-06,2.73E-10,6.98E-12,1.49E-14,5.21E-05,4.56E-07,2.54E-11,2.32E-05,7.50E-06,2.43E-15
102,0.000158873,4.60E-06,9.95E-05,1.71E-06,2.47E-10,6.05E-12,1.20E-14,5.42E-05,4.51E-07,2.25E-11,2.41E-05,7.80E-06,1.80E-15
103,0.000165116,4.61E-06,0.000103577,1.70E-06,2.23E-10,5.26E-12,9.77E-15,5.64E-05,4.47E-07,1.99E-11,2.51E-05,8.12E-06,1.33E-15
104,0.000171705,4.62E-06,0.00010784,1.70E-06,2.02E-10,4.57E-12,7.95E-15,5.88E-05,4.43E-07,1.77E-11,2.62E-05,8.45E-06,9.90E-16
105,0.000178665,4.63E-06,0.000112354,1.70E-06,1.83E-10,3.98E-12,6.47E-15,6.13E-05,4.40E-07,1.58E-11,2.73E-05,8.81E-06,7.35E-16
106,0.000186023,4.65E-06,0.000117137,1.70E-06,1.67E-10,3.47E-12,5.28E-15,6.40E-05,4.37E-07,1.40E-11,2.85E-05,9.19E-06,5.47E-16
107,0.00019381,4.67E-06,0.000122212,1.70E-06,1.52E-10,3.04E-12,4.32E-15,6.68E-05,4.35E-07,1.25E-11,2.98E-05,9.60E-06,4.07E-16
