name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
58,2.76E-26,4.37E-05,8.10E-06,2.73E-05,3.87E-06,4.00E-07,1.51E-05,1.50E-06,7.06E-06,4.32E-07,2.55E-06,3.37E-15,1.97E-18,5.74E-14,3.12E-16,7.68E-05
59,9.92E-27,4.47E-05,7.93E-06,2.79E-05,3.76E-06,3.69E-07,1.54E-05,1.44E-06,7.19E-06,4.10E-07,2.59E-06,2.18E-15,1.08E-18,4.21E-14,1.99E-16,7.82E-05
60,3.56E-27,4.58E-05,7.77E-06,2.85E-05,3.66E-06,3.40E-07,1.57E-05,1.39E-06,7.33E-06,3.89E-07,2.63E-06,1.42E-15,5.91E-19,3.09E-14,1.28E-16,7.96E-05
61,1.28E-27,4.69E-05,7.61E-06,2.92E-05,3.56E-06,3.13E-07,1.61E-05,1.34E-06,7.47E-06,3.69E-07,2.67E-06,9.17E-16,3.24E-19,2.27E-14,8.17E-17,8.11E-05
62,4.57E-28,4.80E-05,7.46E-06,2.99E-05,3.47E-06,2.88E-07,1.64E-05,1.29E-06,7.62E-06,3.51E-07,2.71E-06,5.95E-16,1.78E-19,1.67E-14,5.24E-17,8.26E-05
63,1.64E-28,4.92E-05,7.31E-06,3.06E-05,3.38E-06,2.66E-07,1.68E-05,1.25E-06,7.77E-06,3.33E-07,2.75E-06,3.86E-16,9.76E-20,1.23E-14,3.36E-17,8.41E-05
64,5.87E-29,5.04E-05,7.17E-06,3.13E-05,3.29E-06,2.45E-07,1.72E-05,1.20E-06,7.93E-06,3.17E-07,2.80E-06,2.51E-16,5.36E-20,9.03E-15,2.16E-17,8.57E-05
65,2.11E-29,5.17E-05,7.04E-06,3.21E-05,3.20E-06,2.26E-07,1.76E-05,1.16E-06,8.10E-06,3.02E-07,2.85E-06,1.63E-16,2.95E-20,6.66E-15,1.39E-17,8.73E-05
66,7.54E-30,5.30E-05,6.90E-06,3.29E-05,3.12E-06,2.08E-07,1.80E-05,1.12E-06,8.28E-06,2.87E-07,2.90E-06,1.06E-16,1.62E-20,4.91E-15,8.92E-18,8.89E-05
67,2.70E-30,5.43E-05,6.78E-06,3.37E-05,3.05E-06,1.92E-07,1.84E-05,1.08E-06,8.46E-06,2.73E-07,2.96E-06,6.91E-17,8.93E-21,3.63E-15,5.74E-18,9.06E-05
