name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13905,stra.13906,stra.14026,stra.14147,stra.14512,stra.14518,stra.14641,stra.14642
90,1.05E-04,4.91E-06,6.55E-05,1.93E-06,3.55E-05,5.59E-07,1.58E-05,5.21E-06,3.28E-22,1.54E-29,4.89E-35,1.44E-04
91,1.09E-04,4.88E-06,6.77E-05,1.91E-06,3.67E-05,5.47E-07,1.64E-05,5.37E-06,2.19E-22,8.26E-30,2.30E-35,1.47E-04
92,1.13E-04,4.84E-06,7.00E-05,1.88E-06,3.80E-05,5.36E-07,1.69E-05,5.55E-06,1.46E-22,4.43E-30,1.08E-35,1.50E-04
93,1.17E-04,4.81E-06,7.25E-05,1.86E-06,3.93E-05,5.26E-07,1.75E-05,5.73E-06,9.79E-23,2.38E-30,5.13E-36,1.53E-04
94,1.21E-04,4.78E-06,7.51E-05,1.84E-06,4.07E-05,5.16E-07,1.81E-05,5.93E-06,6.57E-23,1.28E-30,2.44E-36,1.57E-04
95,1.25E-04,4.76E-06,7.78E-05,1.82E-06,4.22E-05,5.07E-07,1.88E-05,6.13E-06,4.42E-23,6.94E-31,1.16E-36,1.60E-04
96,1.29E-04,4.74E-06,8.07E-05,1.81E-06,4.38E-05,4.99E-07,1.95E-05,6.35E-06,2.98E-23,3.76E-31,5.55E-37,1.64E-04
97,1.34E-04,4.72E-06,8.37E-05,1.79E-06,4.54E-05,4.91E-07,2.02E-05,6.58E-06,2.01E-23,2.05E-31,2.67E-37,1.68E-04
98,1.39E-04,4.71E-06,8.69E-05,1.78E-06,4.72E-05,4.84E-07,2.10E-05,6.82E-06,1.36E-23,1.12E-31,1.29E-37,1.72E-04
99,1.44E-04,4.70E-06,9.02E-05,1.77E-06,4.90E-05,4.78E-07,2.18E-05,7.08E-06,9.25E-24,6.12E-32,6.22E-38,1.76E-04
100,1.50E-04,4.70E-06,9.37E-05,1.76E-06,5.10E-05,4.72E-07,2.27E-05,7.35E-06,6.30E-24,3.36E-32,3.02E-38,1.80E-04
101,1.56E-04,4.70E-06,9.74E-05,1.75E-06,5.30E-05,4.66E-07,2.36E-05,7.64E-06,4.30E-24,1.86E-32,1.48E-38,1.85E-04
102,1.62E-04,4.70E-06,1.01E-04,1.75E-06,5.52E-05,4.61E-07,2.46E-05,7.95E-06,2.94E-24,1.03E-32,7.24E-39,1.89E-04
103,1.68E-04,4.71E-06,1.06E-04,1.74E-06,5.75E-05,4.57E-07,2.56E-05,8.28E-06,2.02E-24,5.71E-33,3.56E-39,1.94E-04
104,1.75E-04,4.72E-06,1.10E-04,1.74E-06,6.00E-05,4.54E-07,2.67E-05,8.63E-06,1.39E-24,3.18E-33,1.76E-39,1.99E-04
105,1.82E-04,4.74E-06,1.15E-04,1.74E-06,6.26E-05,4.51E-07,2.79E-05,9.00E-06,9.60E-25,1.78E-33,8.77E-40,2.04E-04
106,1.90E-04,4.76E-06,1.20E-04,1.74E-06,6.53E-05,4.48E-07,2.91E-05,9.40E-06,6.65E-25,1.00E-33,4.38E-40,2.09E-04
107,1.98E-04,4.79E-06,1.25E-04,1.75E-06,6.83E-05,4.46E-07,3.04E-05,9.82E-06,4.62E-25,5.67E-34,2.20E-40,2.15E-04
108,2.06E-04,4.82E-06,1.30E-04,1.75E-06,7.14E-05,4.45E-07,3.19E-05,1.03E-05,3.22E-25,3.22E-34,1.11E-40,2.21E-04
109,2.15E-04,4.86E-06,1.36E-04,1.76E-06,7.48E-05,4.44E-07,3.34E-05,1.08E-05,2.25E-25,1.83E-34,5.64E-41,2.27E-04
110,2.25E-04,4.91E-06,1.43E-04,1.77E-06,7.83E-05,4.44E-07,3.50E-05,1.13E-05,1.58E-25,1.05E-34,2.88E-41,2.33E-04
111,2.35E-04,4.96E-06,1.49E-04,1.79E-06,8.22E-05,4.45E-07,3.67E-05,1.18E-05,1.11E-25,6.04E-35,1.48E-41,2.40E-04
112,2.46E-04,5.02E-06,1.57E-04,1.80E-06,8.63E-05,4.46E-07,3.86E-05,1.24E-05,7.88E-26,3.49E-35,7.63E-42,2.46E-04
113,2.58E-04,5.09E-06,1.64E-04,1.82E-06,9.06E-05,4.48E-07,4.06E-05,1.31E-05,5.59E-26,2.03E-35,3.96E-42,2.53E-04
114,2.70E-04,5.17E-06,1.73E-04,1.84E-06,9.53E-05,4.51E-07,4.28E-05,1.38E-05,3.98E-26,1.19E-35,2.07E-42,2.61E-04
115,2.83E-04,5.25E-06,1.81E-04,1.87E-06,1.00E-04,4.55E-07,4.51E-05,1.45E-05,2.85E-26,6.98E-36,1.09E-42,2.69E-04
116,2.98E-04,5.35E-06,1.91E-04,1.90E-06,1.06E-04,4.60E-07,4.76E-05,1.54E-05,2.05E-26,4.12E-36,5.78E-43,2.77E-04
117,3.13E-04,5.45E-06,2.01E-04,1.93E-06,1.12E-04,4.65E-07,5.03E-05,1.62E-05,1.48E-26,2.45E-36,3.08E-43,2.86E-04
118,3.29E-04,5.57E-06,2.12E-04,1.97E-06,1.18E-04,4.72E-07,5.33E-05,1.72E-05,1.07E-26,1.47E-36,1.66E-43,2.95E-04
119,3.47E-04,5.70E-06,2.24E-04,2.01E-06,1.25E-04,4.79E-07,5.65E-05,1.83E-05,7.83E-27,8.84E-37,8.98E-44,3.04E-04
120,3.66E-04,5.84E-06,2.37E-04,2.06E-06,1.32E-04,4.88E-07,5.99E-05,1.94E-05,5.73E-27,5.36E-37,4.90E-44,3.14E-04
