name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13791,stra.13905,stra.13906,stra.14026,stra.14147,stra.14519,stra.14642
20,2.96E-05,2.37E-05,2.12E-05,1.63E-05,1.91E-06,1.43E-05,1.04E-05,8.72E-06,4.66E-06,2.36E-09,4.82E-05
21,2.90E-05,2.26E-05,2.06E-05,1.54E-05,1.51E-06,1.36E-05,9.58E-06,8.21E-06,4.29E-06,1.23E-09,4.79E-05
22,2.85E-05,2.17E-05,2.01E-05,1.45E-05,1.19E-06,1.31E-05,8.87E-06,7.77E-06,3.97E-06,6.38E-10,4.78E-05
23,2.81E-05,2.07E-05,1.96E-05,1.37E-05,9.31E-07,1.27E-05,8.24E-06,7.39E-06,3.70E-06,3.29E-10,4.77E-05
24,2.78E-05,1.99E-05,1.92E-05,1.30E-05,7.29E-07,1.23E-05,7.67E-06,7.07E-06,3.47E-06,1.69E-10,4.77E-05
25,2.76E-05,1.91E-05,1.89E-05,1.23E-05,5.70E-07,1.20E-05,7.16E-06,6.80E-06,3.28E-06,8.67E-11,4.78E-05
26,2.74E-05,1.84E-05,1.87E-05,1.17E-05,4.45E-07,1.17E-05,6.70E-06,6.57E-06,3.11E-06,4.42E-11,4.80E-05
27,2.74E-05,1.78E-05,1.85E-05,1.12E-05,3.46E-07,1.15E-05,6.29E-06,6.38E-06,2.97E-06,2.25E-11,4.82E-05
28,2.73E-05,1.72E-05,1.84E-05,1.06E-05,2.69E-07,1.14E-05,5.91E-06,6.21E-06,2.85E-06,1.14E-11,4.86E-05
29,2.74E-05,1.66E-05,1.83E-05,1.02E-05,2.09E-07,1.12E-05,5.57E-06,6.08E-06,2.75E-06,5.80E-12,4.90E-05
30,2.75E-05,1.61E-05,1.83E-05,9.76E-06,1.62E-07,1.11E-05,5.26E-06,5.96E-06,2.66E-06,2.93E-12,4.94E-05
31,2.76E-05,1.56E-05,1.83E-05,9.36E-06,1.26E-07,1.10E-05,4.97E-06,5.87E-06,2.59E-06,1.48E-12,4.99E-05
32,2.78E-05,1.51E-05,1.83E-05,8.99E-06,9.71E-08,1.10E-05,4.71E-06,5.80E-06,2.52E-06,7.47E-13,5.05E-05
33,2.80E-05,1.47E-05,1.84E-05,8.64E-06,7.50E-08,1.10E-05,4.47E-06,5.74E-06,2.47E-06,3.76E-13,5.11E-05
34,2.83E-05,1.43E-05,1.85E-05,8.31E-06,5.79E-08,1.10E-05,4.24E-06,5.70E-06,2.42E-06,1.89E-13,5.17E-05
35,2.86E-05,1.39E-05,1.86E-05,8.01E-06,4.46E-08,1.10E-05,4.03E-06,5.67E-06,2.38E-06,9.52E-14,5.24E-05
36,2.89E-05,1.35E-05,1.88E-05,7.72E-06,3.44E-08,1.10E-05,3.84E-06,5.65E-06,2.35E-06,4.78E-14,5.31E-05
37,2.93E-05,1.32E-05,1.90E-05,7.45E-06,2.64E-08,1.11E-05,3.66E-06,5.64E-06,2.33E-06,2.40E-14,5.39E-05
38,2.97E-05,1.28E-05,1.92E-05,7.19E-06,2.03E-08,1.12E-05,3.49E-06,5.64E-06,2.31E-06,1.20E-14,5.47E-05
39,3.01E-05,1.25E-05,1.94E-05,6.95E-06,1.56E-08,1.12E-05,3.33E-06,5.65E-06,2.29E-06,6.02E-15,5.56E-05
40,3.06E-05,1.22E-05,1.96E-05,6.71E-06,1.20E-08,1.13E-05,3.18E-06,5.67E-06,2.28E-06,3.01E-15,5.64E-05
41,3.11E-05,1.19E-05,1.99E-05,6.49E-06,9.16E-09,1.15E-05,3.03E-06,5.70E-06,2.27E-06,1.51E-15,5.73E-05
42,3.16E-05,1.16E-05,2.02E-05,6.28E-06,7.02E-09,1.16E-05,2.90E-06,5.73E-06,2.27E-06,7.55E-16,5.82E-05
43,3.22E-05,1.13E-05,2.05E-05,6.08E-06,5.37E-09,1.17E-05,2.77E-06,5.77E-06,2.27E-06,3.77E-16,5.92E-05
44,3.27E-05,1.11E-05,2.08E-05,5.89E-06,4.11E-09,1.19E-05,2.66E-06,5.82E-06,2.27E-06,1.89E-16,6.02E-05
45,3.33E-05,1.08E-05,2.12E-05,5.70E-06,3.14E-09,1.20E-05,2.54E-06,5.87E-06,2.28E-06,9.42E-17,6.12E-05
46,3.40E-05,1.06E-05,2.15E-05,5.52E-06,2.40E-09,1.22E-05,2.44E-06,5.93E-06,2.28E-06,4.71E-17,6.22E-05
47,3.46E-05,1.03E-05,2.19E-05,5.35E-06,1.83E-09,1.24E-05,2.33E-06,5.99E-06,2.29E-06,2.35E-17,6.33E-05
48,3.53E-05,1.01E-05,2.23E-05,5.19E-06,1.40E-09,1.26E-05,2.24E-06,6.06E-06,2.31E-06,1.17E-17,6.44E-05
49,3.60E-05,9.85E-06,2.27E-05,5.03E-06,1.06E-09,1.28E-05,2.15E-06,6.14E-06,2.32E-06,5.87E-18,6.55E-05
50,3.68E-05,9.63E-06,2.31E-05,4.88E-06,8.11E-10,1.30E-05,2.06E-06,6.22E-06,2.34E-06,2.93E-18,6.67E-05
51,3.75E-05,9.42E-06,2.36E-05,4.74E-06,6.18E-10,1.32E-05,1.98E-06,6.31E-06,2.36E-06,1.46E-18,6.78E-05
52,3.83E-05,9.21E-06,2.40E-05,4.60E-06,4.70E-10,1.34E-05,1.90E-06,6.40E-06,2.38E-06,7.32E-19,6.90E-05
53,3.91E-05,9.01E-06,2.45E-05,4.47E-06,3.58E-10,1.37E-05,1.82E-06,6.49E-06,2.40E-06,3.66E-19,7.02E-05
54,4.00E-05,8.82E-06,2.50E-05,4.34E-06,2.73E-10,1.40E-05,1.75E-06,6.60E-06,2.43E-06,1.83E-19,7.15E-05
55,4.09E-05,8.63E-06,2.56E-05,4.21E-06,2.07E-10,1.42E-05,1.69E-06,6.70E-06,2.46E-06,9.14E-20,7.28E-05
56,4.18E-05,8.44E-06,2.61E-05,4.09E-06,1.58E-10,1.45E-05,1.62E-06,6.82E-06,2.49E-06,4.57E-20,7.41E-05
57,4.27E-05,8.27E-06,2.67E-05,3.98E-06,1.20E-10,1.48E-05,1.56E-06,6.94E-06,2.52E-06,2.29E-20,7.54E-05
58,4.37E-05,8.10E-06,2.73E-05,3.87E-06,9.14E-11,1.51E-05,1.50E-06,7.06E-06,2.55E-06,1.15E-20,7.68E-05
59,4.47E-05,7.93E-06,2.79E-05,3.76E-06,6.95E-11,1.54E-05,1.44E-06,7.19E-06,2.59E-06,5.75E-21,7.82E-05
60,4.58E-05,7.77E-06,2.85E-05,3.66E-06,5.29E-11,1.57E-05,1.39E-06,7.33E-06,2.63E-06,2.88E-21,7.96E-05
61,4.69E-05,7.61E-06,2.92E-05,3.56E-06,4.02E-11,1.61E-05,1.34E-06,7.47E-06,2.67E-06,1.45E-21,8.11E-05
62,4.80E-05,7.46E-06,2.99E-05,3.47E-06,3.06E-11,1.64E-05,1.29E-06,7.62E-06,2.71E-06,7.27E-22,8.26E-05
63,4.92E-05,7.31E-06,3.06E-05,3.38E-06,2.33E-11,1.68E-05,1.25E-06,7.77E-06,2.75E-06,3.65E-22,8.41E-05
64,5.04E-05,7.17E-06,3.13E-05,3.29E-06,1.77E-11,1.72E-05,1.20E-06,7.93E-06,2.80E-06,1.84E-22,8.57E-05
65,5.17E-05,7.04E-06,3.21E-05,3.20E-06,1.35E-11,1.76E-05,1.16E-06,8.10E-06,2.85E-06,9.26E-23,8.72E-05
66,5.30E-05,6.90E-06,3.29E-05,3.12E-06,1.03E-11,1.80E-05,1.12E-06,8.28E-06,2.90E-06,4.67E-23,8.89E-05
67,5.43E-05,6.78E-06,3.37E-05,3.05E-06,7.81E-12,1.84E-05,1.08E-06,8.46E-06,2.96E-06,2.35E-23,9.06E-05
68,5.57E-05,6.65E-06,3.45E-05,2.97E-06,5.95E-12,1.89E-05,1.04E-06,8.65E-06,3.01E-06,1.19E-23,9.23E-05
69,5.72E-05,6.53E-06,3.54E-05,2.90E-06,4.53E-12,1.94E-05,1.01E-06,8.85E-06,3.07E-06,6.02E-24,9.40E-05
70,5.87E-05,6.42E-06,3.64E-05,2.83E-06,3.45E-12,1.99E-05,9.76E-07,9.06E-06,3.13E-06,3.05E-24,9.58E-05
71,6.02E-05,6.31E-06,3.73E-05,2.76E-06,2.63E-12,2.04E-05,9.44E-07,9.27E-06,3.20E-06,1.55E-24,9.77E-05
72,6.19E-05,6.20E-06,3.83E-05,2.70E-06,2.01E-12,2.09E-05,9.14E-07,9.50E-06,3.27E-06,7.85E-25,9.95E-05
73,6.35E-05,6.10E-06,3.93E-05,2.64E-06,1.53E-12,2.14E-05,8.85E-07,9.73E-06,3.34E-06,3.99E-25,0.000101469
74,6.53E-05,6.00E-06,4.04E-05,2.58E-06,1.17E-12,2.20E-05,8.57E-07,9.98E-06,3.41E-06,2.03E-25,0.000103448
75,6.71E-05,5.90E-06,4.15E-05,2.52E-06,8.95E-13,2.26E-05,8.31E-07,1.02E-05,3.49E-06,1.04E-25,0.000105477
76,6.90E-05,5.81E-06,4.27E-05,2.47E-06,6.84E-13,2.32E-05,8.06E-07,1.05E-05,3.57E-06,5.30E-26,0.000107559
77,7.10E-05,5.73E-06,4.39E-05,2.42E-06,5.23E-13,2.39E-05,7.82E-07,1.08E-05,3.65E-06,2.71E-26,0.000109694
78,7.30E-05,5.64E-06,4.52E-05,2.37E-06,4.01E-13,2.46E-05,7.59E-07,1.11E-05,3.74E-06,1.39E-26,0.000111885
79,7.51E-05,5.56E-06,4.65E-05,2.32E-06,3.07E-13,2.53E-05,7.37E-07,1.14E-05,3.84E-06,7.15E-27,0.000114134
80,7.74E-05,5.49E-06,4.79E-05,2.28E-06,2.35E-13,2.60E-05,7.16E-07,1.17E-05,3.93E-06,3.68E-27,0.000116444
81,7.97E-05,5.41E-06,4.93E-05,2.23E-06,1.80E-13,2.68E-05,6.97E-07,1.20E-05,4.03E-06,1.90E-27,0.000118816
82,8.21E-05,5.34E-06,5.08E-05,2.19E-06,1.39E-13,2.76E-05,6.78E-07,1.24E-05,4.14E-06,9.80E-28,0.000121254
83,8.46E-05,5.28E-06,5.24E-05,2.15E-06,1.07E-13,2.84E-05,6.60E-07,1.27E-05,4.25E-06,5.07E-28,0.00012376
84,8.72E-05,5.22E-06,5.40E-05,2.11E-06,8.20E-14,2.93E-05,6.43E-07,1.31E-05,4.37E-06,2.63E-28,0.000126337
85,8.99E-05,5.16E-06,5.57E-05,2.08E-06,6.31E-14,3.02E-05,6.27E-07,1.35E-05,4.49E-06,1.37E-28,0.000128988
86,9.27E-05,5.10E-06,5.75E-05,2.05E-06,4.86E-14,3.12E-05,6.12E-07,1.39E-05,4.62E-06,7.14E-29,0.000131715
87,9.57E-05,5.05E-06,5.93E-05,2.01E-06,3.75E-14,3.22E-05,5.97E-07,1.44E-05,4.76E-06,3.73E-29,0.000134522
88,9.88E-05,5.00E-06,6.13E-05,1.98E-06,2.90E-14,3.32E-05,5.84E-07,1.48E-05,4.90E-06,1.95E-29,0.000137413
89,0.000102042,4.96E-06,6.33E-05,1.96E-06,2.24E-14,3.43E-05,5.71E-07,1.53E-05,5.05E-06,1.03E-29,0.000140392
90,0.00010543,4.91E-06,6.55E-05,1.93E-06,1.74E-14,3.55E-05,5.59E-07,1.58E-05,5.21E-06,5.40E-30,0.000143461
91,0.000108976,4.88E-06,6.77E-05,1.91E-06,1.35E-14,3.67E-05,5.47E-07,1.64E-05,5.37E-06,2.85E-30,0.000146626
92,0.000112689,4.84E-06,7.00E-05,1.88E-06,1.04E-14,3.80E-05,5.36E-07,1.69E-05,5.55E-06,1.51E-30,0.00014989
93,0.00011658,4.81E-06,7.25E-05,1.86E-06,8.12E-15,3.93E-05,5.26E-07,1.75E-05,5.73E-06,8.01E-31,0.000153258
94,0.000120658,4.78E-06,7.51E-05,1.84E-06,6.32E-15,4.07E-05,5.16E-07,1.81E-05,5.93E-06,4.26E-31,0.000156736
95,0.000124937,4.76E-06,7.78E-05,1.82E-06,4.93E-15,4.22E-05,5.07E-07,1.88E-05,6.13E-06,2.28E-31,0.000160327
96,0.000129428,4.74E-06,8.07E-05,1.81E-06,3.84E-15,4.38E-05,4.99E-07,1.95E-05,6.35E-06,1.22E-31,0.000164039
97,0.000134147,4.72E-06,8.37E-05,1.79E-06,3.01E-15,4.54E-05,4.91E-07,2.02E-05,6.58E-06,6.55E-32,0.000167877
98,0.000139106,4.71E-06,8.69E-05,1.78E-06,2.35E-15,4.72E-05,4.84E-07,2.10E-05,6.82E-06,3.53E-32,0.000171846
99,0.000144324,4.70E-06,9.02E-05,1.77E-06,1.85E-15,4.90E-05,4.78E-07,2.18E-05,7.08E-06,1.91E-32,0.000175954
100,0.000149817,4.70E-06,9.37E-05,1.76E-06,1.45E-15,5.10E-05,4.72E-07,2.27E-05,7.35E-06,1.04E-32,0.000180209
101,0.000155604,4.70E-06,9.74E-05,1.75E-06,1.14E-15,5.30E-05,4.66E-07,2.36E-05,7.64E-06,5.65E-33,0.000184617
102,0.000161706,4.70E-06,0.000101373,1.75E-06,9.00E-16,5.52E-05,4.61E-07,2.46E-05,7.95E-06,3.09E-33,0.000189187
103,0.000168145,4.71E-06,0.000105532,1.74E-06,7.11E-16,5.75E-05,4.57E-07,2.56E-05,8.28E-06,1.70E-33,0.000193927
104,0.000174946,4.72E-06,0.000109935,1.74E-06,5.63E-16,6.00E-05,4.54E-07,2.67E-05,8.63E-06,9.36E-34,0.000198848
105,0.000182135,4.74E-06,0.0001146,1.74E-06,4.46E-16,6.26E-05,4.51E-07,2.79E-05,9.00E-06,5.18E-34,0.00020396
106,0.000189742,4.76E-06,0.000119548,1.74E-06,3.55E-16,6.53E-05,4.48E-07,2.91E-05,9.40E-06,2.88E-34,0.000209272
107,0.000197798,4.79E-06,0.000124802,1.75E-06,2.83E-16,6.83E-05,4.46E-07,3.04E-05,9.82E-06,1.61E-34,0.000214798
108,0.000206339,4.82E-06,0.000130385,1.75E-06,2.26E-16,7.14E-05,4.45E-07,3.19E-05,1.03E-05,9.01E-35,0.00022055
109,0.000215402,4.86E-06,0.000136326,1.76E-06,1.81E-16,7.48E-05,4.44E-07,3.34E-05,1.08E-05,5.08E-35,0.000226542
110,0.000225031,4.91E-06,0.000142654,1.77E-06,1.45E-16,7.83E-05,4.44E-07,3.50E-05,1.13E-05,2.87E-35,0.000232789
111,0.000235271,4.96E-06,0.000149402,1.79E-06,1.17E-16,8.22E-05,4.45E-07,3.67E-05,1.18E-05,1.63E-35,0.000239306
112,0.000246174,5.02E-06,0.000156608,1.80E-06,9.40E-17,8.63E-05,4.46E-07,3.86E-05,1.24E-05,9.34E-36,0.000246112
113,0.000257796,5.09E-06,0.000164312,1.82E-06,7.60E-17,9.06E-05,4.48E-07,4.06E-05,1.31E-05,5.37E-36,0.000253225
114,0.000270201,5.17E-06,0.000172559,1.84E-06,6.16E-17,9.53E-05,4.51E-07,4.28E-05,1.38E-05,3.10E-36,0.000260667
115,0.000283458,5.25E-06,0.0001814,1.87E-06,5.01E-17,0.000100405,4.55E-07,4.51E-05,1.45E-05,1.80E-36,0.000268461
116,0.000297644,5.35E-06,0.000190891,1.90E-06,4.09E-17,0.000105854,4.60E-07,4.76E-05,1.54E-05,1.05E-36,0.000276631
117,0.000312848,5.45E-06,0.000201096,1.93E-06,3.35E-17,0.00011173,4.65E-07,5.03E-05,1.62E-05,6.21E-37,0.000285204
118,0.000329164,5.57E-06,0.000212085,1.97E-06,2.75E-17,0.000118077,4.72E-07,5.33E-05,1.72E-05,3.67E-37,0.000294212
119,0.000346702,5.70E-06,0.000223938,2.01E-06,2.27E-17,0.000124946,4.79E-07,5.65E-05,1.83E-05,2.19E-37,0.000303686
120,0.000365583,5.84E-06,0.000236745,2.06E-06,1.88E-17,0.000132393,4.88E-07,5.99E-05,1.94E-05,1.31E-37,0.000313663
121,0.000385946,6.00E-06,0.000250608,2.11E-06,1.56E-17,0.000140483,4.98E-07,6.37E-05,2.07E-05,7.93E-38,0.000324185
122,0.000407944,6.18E-06,0.000265642,2.17E-06,1.30E-17,0.000149287,5.10E-07,6.79E-05,2.20E-05,4.83E-38,0.000335295
123,0.000431753,6.37E-06,0.000281978,2.23E-06,1.09E-17,0.000158889,5.23E-07,7.24E-05,2.35E-05,2.96E-38,0.000347044
124,0.000457573,6.59E-06,0.000299767,2.31E-06,9.15E-18,0.000169385,5.38E-07,7.74E-05,2.52E-05,1.83E-38,0.000359487
125,0.000485631,6.82E-06,0.000319179,2.39E-06,7.73E-18,0.000180885,5.55E-07,8.28E-05,2.70E-05,1.14E-38,0.000372687
126,0.000516188,7.09E-06,0.000340411,2.48E-06,6.56E-18,0.000193515,5.74E-07,8.88E-05,2.90E-05,7.16E-39,0.000386713
127,0.000549542,7.38E-06,0.000363692,2.58E-06,5.60E-18,0.000207422,5.95E-07,9.55E-05,3.13E-05,4.54E-39,0.000401644
128,0.000586036,7.71E-06,0.000389284,2.69E-06,4.80E-18,0.000222778,6.20E-07,0.000102883,3.38E-05,2.91E-39,0.00041757
129,0.00062607,8.08E-06,0.000417493,2.82E-06,4.14E-18,0.000239781,6.47E-07,0.000111097,3.66E-05,1.88E-39,0.000434589
130,0.000670105,8.49E-06,0.000448678,2.97E-06,3.59E-18,0.000258667,6.78E-07,0.000120261,3.97E-05,1.23E-39,0.000452818
131,0.000718681,8.95E-06,0.000483256,3.13E-06,3.14E-18,0.000279711,7.14E-07,0.000130521,4.32E-05,8.10E-40,0.000472387
132,0.00077243,9.46E-06,0.000521723,3.31E-06,2.76E-18,0.000303241,7.54E-07,0.000142051,4.72E-05,5.41E-40,0.000493447
133,0.000832096,1.00E-05,0.000564663,3.52E-06,2.44E-18,0.000329646,8.00E-07,0.000155055,5.17E-05,3.66E-40,0.000516169
134,0.000898562,1.07E-05,0.000612774,3.76E-06,2.17E-18,0.000359394,8.52E-07,0.000169784,5.68E-05,2.50E-40,0.000540755
135,0.000972877,1.15E-05,0.000666891,4.03E-06,1.95E-18,0.000393046,9.13E-07,0.000186539,6.27E-05,1.73E-40,0.000567437
136,0.0010563,1.23E-05,0.000728021,4.34E-06,1.77E-18,0.000431286,9.82E-07,0.000205689,6.94E-05,1.22E-40,0.000596488
137,0.00115034,1.33E-05,0.000797386,4.70E-06,1.62E-18,0.000474946,1.06E-06,0.000227685,7.72E-05,8.70E-41,0.000628229
138,0.00125685,1.45E-05,0.000876478,5.12E-06,1.49E-18,0.00052505,1.16E-06,0.000253087,8.63E-05,6.30E-41,0.000663039
139,0.00137807,1.58E-05,0.000967133,5.61E-06,1.39E-18,0.000582866,1.27E-06,0.000282593,9.69E-05,4.64E-41,0.00070137
140,0.00151676,1.74E-05,0.00107163,6.19E-06,1.31E-18,0.000649978,1.40E-06,0.000317078,0.000109311,3.48E-41,0.000743764
141,0.00167636,1.92E-05,0.00119281,6.87E-06,1.25E-18,0.000728382,1.55E-06,0.000357657,0.00012407,2.66E-41,0.000790875
142,0.00186117,2.14E-05,0.00133429,7.69E-06,1.21E-18,0.000820617,1.74E-06,0.000405755,0.000141697,2.07E-41,0.000843499
143,0.00207663,2.40E-05,0.00150063,8.67E-06,1.18E-18,0.000929941,1.97E-06,0.000463216,0.000162921,1.65E-41,0.000902612
144,0.00232966,2.72E-05,0.00169773,9.87E-06,1.17E-18,0.00106058,2.25E-06,0.000532453,0.000188708,1.34E-41,0.000969422
145,0.0026292,3.11E-05,0.00193328,1.14E-05,1.18E-18,0.0012181,2.59E-06,0.000616663,0.000220346,1.12E-41,0.00104544
146,0.00298689,3.59E-05,0.00221736,1.32E-05,1.21E-18,0.00140986,3.02E-06,0.000720124,0.000259576,9.62E-42,0.00113255
147,0.00341807,4.20E-05,0.00256343,1.55E-05,1.27E-18,0.00164578,3.56E-06,0.000848648,0.000308786,8.48E-42,0.00123317
148,0.00394319,4.96E-05,0.00298963,1.85E-05,1.36E-18,0.00193937,4.26E-06,0.00101023,0.000371291,7.72E-42,0.0013504
149,0.00458983,5.94E-05,0.0035207,2.23E-05,1.48E-18,0.00230928,5.18E-06,0.00121603,0.000451769,7.26E-42,0.00148822
150,0.00539557,7.23E-05,0.00419087,2.74E-05,1.66E-18,0.0027816,6.39E-06,0.00148182,0.00055691,7.08E-42,0.00165183
151,0.00641214,8.94E-05,0.0050479,3.42E-05,1.91E-18,0.00339323,8.04E-06,0.00183023,0.000696425,7.19E-42,0.00184804
152,0.0077112,0.000112576,0.00615913,4.35E-05,2.26E-18,0.00419695,1.03E-05,0.00229403,0.000884573,7.60E-42,0.00208572
153,0.0093921,0.000144509,0.0076197,5.65E-05,2.75E-18,0.00526865,1.35E-05,0.00292108,0.00114248,8.41E-42,0.00237637
154,0.0115913,0.000189299,0.00956345,7.50E-05,3.47E-18,0.00671711,1.80E-05,0.00378122,0.00150151,9.74E-42,0.00273447
155,0.0144911,0.000253063,0.0121746,0.000101495,4.53E-18,0.00869574,2.47E-05,0.00497504,0.00200771,1.18E-41,0.00317728
156,0.0183209,0.000344719,0.0156943,0.000140135,6.10E-18,0.0114119,3.44E-05,0.00664219,0.00272661,1.51E-41,0.00372293
157,0.0233334,0.000476492,0.0204068,0.000196437,8.44E-18,0.0151219,4.88E-05,0.00896194,0.00374511,2.00E-41,0.00438515
158,0.0297322,0.000663222,0.026578,0.000277347,1.19E-17,0.0200881,6.96E-05,0.0121304,0.0051634,2.75E-41,0.00516291
159,0.0375353,0.000919021,0.0343241,0.00038982,1.69E-17,0.0264757,9.89E-05,0.0162962,0.00706718,3.83E-41,0.00602683
160,0.04643,0.00125092,0.0434512,0.000537964,2.37E-17,0.0342095,0.000138033,0.0214619,0.00948072,5.34E-41,0.00691239
161,0.055768,0.00165295,0.0534047,0.000720153,3.23E-17,0.042902,0.000186685,0.02742,0.0123302,7.30E-41,0.00773513
162,0.0647934,0.00210675,0.0634517,0.000928882,4.27E-17,0.0519707,0.000243068,0.0338085,0.01546,9.69E-41,0.00842571
163,0.0729471,0.00258953,0.0729786,0.00115408,5.43E-17,0.0608774,0.00030455,0.0402618,0.0186983,1.24E-40,0.00895677
164,0.0799961,0.00308231,0.0816563,0.00138689,6.67E-17,0.0692873,0.00036872,0.0465267,0.0219154,1.53E-40,0.00934021
165,0.0859576,0.00357295,0.089406,0.00162134,7.96E-17,0.0770694,0.000433881,0.0524795,0.0250382,1.84E-40,0.00960668
166,0.0909661,0.00405507,0.0962864,0.00185402,9.26E-17,0.084218,0.000499015,0.058084,0.0280358,2.16E-40,0.00978812
167,0.0951809,0.0045258,0.102404,0.0020832,1.06E-16,0.0907823,0.000563571,0.063348,0.0309008,2.48E-40,0.00991019
168,0.0987463,0.00498418,0.107869,0.00230813,1.19E-16,0.0968264,0.000627272,0.0682962,0.0336366,2.81E-40,0.00999136
169,0.101781,0.0054302,0.112779,0.00252852,1.32E-16,0.102413,0.000689996,0.0729575,0.0362507,3.13E-40,0.0100443
170,0.104379,0.00586427,0.117214,0.0027444,1.45E-16,0.107597,0.000751705,0.0773599,0.0387518,3.45E-40,0.0100775
171,0.106614,0.00628702,0.121241,0.00295589,1.58E-16,0.112426,0.000812407,0.0815286,0.0411488,3.77E-40,0.0100969
172,0.108544,0.00669913,0.124914,0.00316321,1.70E-16,0.11694,0.000872132,0.0854858,0.0434498,4.09E-40,0.0101064
173,0.110216,0.00710127,0.128277,0.00336657,1.83E-16,0.121172,0.000930925,0.0892508,0.045662,4.41E-40,0.0101087
174,0.111667,0.00749409,0.131367,0.00356621,1.96E-16,0.125152,0.000988831,0.0928403,0.047792,4.73E-40,0.0101057
175,0.112927,0.00787821,0.134215,0.00376234,2.08E-16,0.128902,0.0010459,0.0962687,0.0498456,5.05E-40,0.0100989
176,0.114019,0.00825415,0.136845,0.00395516,2.20E-16,0.132444,0.00110217,0.0995484,0.051828,5.36E-40,0.0100891
177,0.114965,0.00862243,0.13928,0.00414487,2.33E-16,0.135795,0.00115769,0.10269,0.0537436,5.67E-40,0.0100771
178,0.115781,0.00898351,0.141537,0.00433164,2.45E-16,0.13897,0.0012125,0.105705,0.0555966,5.99E-40,0.0100634
179,0.116481,0.00933779,0.143632,0.00451563,2.57E-16,0.141983,0.00126664,0.108599,0.0573906,6.30E-40,0.0100484
180,0.117079,0.00968565,0.14558,0.00469699,2.69E-16,0.144846,0.00132014,0.111382,0.059129,6.61E-40,0.0100323
181,0.117583,0.0100275,0.147391,0.00487586,2.81E-16,0.14757,0.00137304,0.114059,0.0608146,6.91E-40,0.0100154
182,0.118003,0.0103635,0.149078,0.00505238,2.92E-16,0.150162,0.00142536,0.116638,0.0624503,7.22E-40,0.00999792
