Strategy_Type,p1,p2,p3,p4
stra.251,0.01,0.2,0.01,0.8
stra.252,0.01,0.2,0.01,0.9
stra.253,0.01,0.2,0.01,0.99
stra.254,0.01,0.2,0.1,0.01
stra.255,0.01,0.2,0.1,0.1
stra.256,0.01,0.2,0.1,0.2
stra.257,0.01,0.2,0.1,0.3
stra.258,0.01,0.2,0.1,0.4
stra.259,0.01,0.2,0.1,0.5
stra.260,0.01,0.2,0.1,0.6
stra.261,0.01,0.2,0.1,0.7
stra.262,0.01,0.2,0.1,0.8
stra.263,0.01,0.2,0.1,0.9
stra.264,0.01,0.2,0.1,0.99
stra.265,0.01,0.2,0.2,0.01
stra.266,0.01,0.2,0.2,0.1
stra.267,0.01,0.2,0.2,0.2
stra.268,0.01,0.2,0.2,0.3
stra.269,0.01,0.2,0.2,0.4
stra.270,0.01,0.2,0.2,0.5
stra.271,0.01,0.2,0.2,0.6
stra.272,0.01,0.2,0.2,0.7
stra.273,0.01,0.2,0.2,0.8
stra.274,0.01,0.2,0.2,0.9
stra.275,0.01,0.2,0.2,0.99
stra.276,0.01,0.2,0.3,0.01
stra.277,0.01,0.2,0.3,0.1
stra.278,0.01,0.2,0.3,0.2
stra.279,0.01,0.2,0.3,0.3
stra.280,0.01,0.2,0.3,0.4
stra.281,0.01,0.2,0.3,0.5
stra.282,0.01,0.2,0.3,0.6
stra.283,0.01,0.2,0.3,0.7
stra.284,0.01,0.2,0.3,0.8
stra.285,0.01,0.2,0.3,0.9
stra.286,0.01,0.2,0.3,0.99
stra.287,0.01,0.2,0.4,0.01
stra.288,0.01,0.2,0.4,0.1
stra.289,0.01,0.2,0.4,0.2
stra.290,0.01,0.2,0.4,0.3
stra.291,0.01,0.2,0.4,0.4
stra.292,0.01,0.2,0.4,0.5
stra.293,0.01,0.2,0.4,0.6
stra.294,0.01,0.2,0.4,0.7
stra.295,0.01,0.2,0.4,0.8
stra.296,0.01,0.2,0.4,0.9
stra.297,0.01,0.2,0.4,0.99
stra.298,0.01,0.2,0.5,0.01
stra.299,0.01,0.2,0.5,0.1
stra.300,0.01,0.2,0.5,0.2
stra.301,0.01,0.2,0.5,0.3
stra.302,0.01,0.2,0.5,0.4
stra.303,0.01,0.2,0.5,0.5
stra.304,0.01,0.2,0.5,0.6
stra.305,0.01,0.2,0.5,0.7
stra.306,0.01,0.2,0.5,0.8
stra.307,0.01,0.2,0.5,0.9
stra.308,0.01,0.2,0.5,0.99
stra.309,0.01,0.2,0.6,0.01
stra.310,0.01,0.2,0.6,0.1
stra.311,0.01,0.2,0.6,0.2
stra.312,0.01,0.2,0.6,0.3
stra.313,0.01,0.2,0.6,0.4
