generation,ave_total_payoff
950,2.961412631
1000,2.961752445
1050,2.962059536
1100,2.962337626
1150,2.962588863
1200,2.962814044
1250,2.963012699
1300,2.963183061
1350,2.963321914
1400,2.963424345
1450,2.963483378
1500,2.96348953
1550,2.963430322
1600,2.963289863
1650,2.963048733
1700,2.962684575
1750,2.962174025
1800,2.96149685
1850,2.96064308
1900,2.959623284
1950,2.958480207
2000,2.957297066
2050,2.954520585
2100,2.954174788
2150,2.953295771
2200,2.954085231
2250,2.95415689
2300,2.95528513
2350,2.953839506
2400,2.955885302
2450,2.955663411
2500,2.957871432
2550,2.958731271
2600,2.95941813
2650,2.960459278
2700,2.960719419
2750,2.961158827
2800,2.961526393
2850,2.9619607
2900,2.961098869
2950,2.962616474
3000,2.960775505
3050,2.960932185
3100,2.961405255
3150,2.959700445
3200,2.959535455
3250,2.959756644
3300,2.957511138
3350,2.957726622
3400,2.957357261
3450,2.95613198
3500,2.955888929
3550,2.955838738
3600,2.956026767
3650,2.956694657
3700,2.956480504
3750,2.957473721
3800,2.956816802
3850,2.957515822
3900,2.955292539
3950,2.957518601
4000,2.956640805
4050,2.956353123
4100,2.956339839
4150,2.958386988
4200,2.957689955
4250,2.959347005
4300,2.957471036
4350,2.957889688
4400,2.957912985
4450,2.959071737
4500,2.95835588
4550,2.959106859
4600,2.956324883
4650,2.959528118
4700,2.958432875
4750,2.958462132
4800,2.958651492
4850,2.957926788
4900,2.957834507
4950,2.959626435
5000,2.958171634
5050,2.958920318
5100,2.957533146
5150,2.957452385
5200,2.956122779
5250,2.958341186
5300,2.957492117
5350,2.957411109
5400,2.956660857
5450,2.957698177
5500,2.957973051
5550,2.958807375
5600,2.957309573
5650,2.958385323
5700,2.958250936
5750,2.957653592
5800,2.957177388
5850,2.958201884
5900,2.958250999
5950,2.957882999
6000,2.95661885
6050,2.956063734
6100,2.95634249
6150,2.956453084
6200,2.958198082
6250,2.957356569
6300,2.958288133
6350,2.959120298
6400,2.959420367
6450,2.9601066
6500,2.958080386
6550,2.960030654
6600,2.960655957
6650,2.960671996
6700,2.959545508
6750,2.958775697
6800,2.96139744
6850,2.960204133
6900,2.962347674
6950,2.962905622
7000,2.961303365
7050,2.962986546
7100,2.962428956
7150,2.962488053
7200,2.961931191
7250,2.961252778
7300,2.962104749
7350,2.960562441
7400,2.961497303
7450,2.960872165
7500,2.960994778
7550,2.961527146
7600,2.961132383
7650,2.960362603
7700,2.959638311
7750,2.960861177
7800,2.958634195
7850,2.958720135
7900,2.959110409
7950,2.959267996
8000,2.958360922
8050,2.956067689
8100,2.956083563
8150,2.956809638
8200,2.958113042
8250,2.957446095
8300,2.959003188
8350,2.959553488
8400,2.958101335
8450,2.958997507
8500,2.956985321
8550,2.960558861
8600,2.95988275
8650,2.961043061
8700,2.961388161
8750,2.9621986
8800,2.962782867
8850,2.963061611
8900,2.962706784
8950,2.962953735
9000,2.963431553
9050,2.962172594
9100,2.963726694
9150,2.963797933
9200,2.963596752
9250,2.964564603
9300,2.964183828
9350,2.964577416
9400,2.963469337
9450,2.965084024
9500,2.964718332
9550,2.964858285
9600,2.965602765
9650,2.96357873
9700,2.963198659
9750,2.965526904
9800,2.965077826
9850,2.963264989
9900,2.964943291
9950,2.964981786
10000,2.964954045
10050,2.963346708
10100,2.96482682
10150,2.963654104
10200,2.964002882
10250,2.96416935
10300,2.964449073
10350,2.964173281
10400,2.965533708
10450,2.964681613
10500,2.964559386
10550,2.964618258
10600,2.964388273
10650,2.96235984
10700,2.963254669
10750,2.964174557
10800,2.965101601
10850,2.964493328
10900,2.965249928
10950,2.96306252
11000,2.965149692
11050,2.964943057
11100,2.96524691
11150,2.965825032
11200,2.963224392
11250,2.961705404
11300,2.964963803
11350,2.965266867
11400,2.964592442
11450,2.965242039
11500,2.964060123
11550,2.964834107
11600,2.965906519
11650,2.965267696
11700,2.965034146
11750,2.965047053
11800,2.964859725
11850,2.964831983
11900,2.964695869
11950,2.965783033
12000,2.96556861
12050,2.966196352
12100,2.964835974
12150,2.96396901
12200,2.964766583
12250,2.964715728
12300,2.964455749
12350,2.965247264
12400,2.964545032
12450,2.962554769
12500,2.965311399
12550,2.964949988
12600,2.96469905
12650,2.964143256
12700,2.96457852
12750,2.964328115
12800,2.962538971
12850,2.96068419
12900,2.963360553
12950,2.964098912
13000,2.963899411
13050,2.962989702
13100,2.962793701
13150,2.96096146
13200,2.964235243
13250,2.963250984
13300,2.963609358
13350,2.962579501
13400,2.961638371
13450,2.965087654
13500,2.964706356
13550,2.963490415
13600,2.964723571
13650,2.964480412
13700,2.963556701
13750,2.964262257
13800,2.96472914
13850,2.965071935
13900,2.965313436
13950,2.964110174
14000,2.9655569
14050,2.965001377
14100,2.964502403
14150,2.964887573
14200,2.966102001
14250,2.966278537
14300,2.965736779
14350,2.966141972
14400,2.965495463
14450,2.966582894
14500,2.964047768
14550,2.964852237
14600,2.962810285
14650,2.961022384
14700,2.964336063
14750,2.963027079
14800,2.965730631
14850,2.963076049
14900,2.964431955
14950,2.962719429
15000,2.963337044
15050,2.965072219
15100,2.96474307
15150,2.963400981
15200,2.962802218
15250,2.963999667
15300,2.964056861
15350,2.963529713
15400,2.963322661
15450,2.964336875
15500,2.965163937
15550,2.96346322
15600,2.966099029
15650,2.965771308
15700,2.963416822
15750,2.966681306
15800,2.96545717
15850,2.965652062
15900,2.965363317
15950,2.965331478
16000,2.964381483
16050,2.963380974
16100,2.964654403
16150,2.964064118
16200,2.963756108
16250,2.960161855
16300,2.963024173
16350,2.960073608
16400,2.964005786
16450,2.965094784
16500,2.963726687
16550,2.964045415
16600,2.965244147
16650,2.961300479
16700,2.963956649
16750,2.96456796
16800,2.965186725
16850,2.964226592
16900,2.964844549
16950,2.964980457
17000,2.964206516
17050,2.963925299
17100,2.963158618
17150,2.964941369
17200,2.963041887
17250,2.963499098
