name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
616000,1.04E-31,3.63E-29,6.03E-05,7.69E-46,0.0549098,0.274854,0.019254,0.0198332,0.0893114,0.441151,1.5E-323
616100,9.73E-32,3.40E-29,5.66E-05,7.45E-46,0.0550459,0.275733,0.0193229,0.0199367,0.0896291,0.439964,1.5E-323
616200,9.11E-32,3.19E-29,5.31E-05,7.22E-46,0.0550707,0.275952,0.0193327,0.0199675,0.0895866,0.439861,1.5E-323
616300,8.50E-32,2.98E-29,4.97E-05,6.97E-46,0.0549644,0.275572,0.0193081,0.0199723,0.0894487,0.437912,1.5E-323
616400,7.97E-32,2.80E-29,4.67E-05,6.75E-46,0.0549605,0.275793,0.0192618,0.0199787,0.0893575,0.438484,1.5E-323
616500,7.47E-32,2.62E-29,4.39E-05,6.53E-46,0.0547647,0.275064,0.0190659,0.0198402,0.0886378,0.441337,1.5E-323
616600,6.98E-32,2.46E-29,4.11E-05,6.32E-46,0.0547082,0.275013,0.0189945,0.0198207,0.0884467,0.441335,1.5E-323
616700,6.55E-32,2.30E-29,3.87E-05,6.12E-46,0.0548209,0.275887,0.01901,0.0199026,0.0887119,0.441038,1.5E-323
616800,6.11E-32,2.15E-29,3.62E-05,5.91E-46,0.0544692,0.274214,0.0187819,0.0196889,0.0875937,0.442197,1.5E-323
616900,5.73E-32,2.02E-29,3.40E-05,5.72E-46,0.0543799,0.273894,0.0186383,0.0195657,0.0868809,0.446149,1.5E-323
617000,5.37E-32,1.89E-29,3.19E-05,5.54E-46,0.0544102,0.274228,0.0185932,0.0195531,0.0866696,0.445632,1.5E-323
617100,5.02E-32,1.77E-29,3.00E-05,5.36E-46,0.054352,0.27407,0.0185155,0.0194964,0.0862601,0.446767,1.5E-323
617200,4.70E-32,1.66E-29,2.81E-05,5.19E-46,0.0543598,0.274336,0.0184731,0.019494,0.0861178,0.448332,1.5E-323
617300,4.39E-32,1.55E-29,2.63E-05,5.03E-46,0.0543924,0.274573,0.0184734,0.0195098,0.0860222,0.448213,1.5E-323
617400,4.10E-32,1.46E-29,2.47E-05,4.86E-46,0.0543394,0.274611,0.018401,0.019494,0.0858558,0.44749,1.5E-323
617500,3.83E-32,1.36E-29,2.31E-05,4.70E-46,0.0543568,0.274911,0.0184081,0.0195408,0.0859356,0.447565,1.5E-323
617600,3.58E-32,1.27E-29,2.17E-05,4.55E-46,0.0543239,0.274914,0.018378,0.0195399,0.0857676,0.448626,1.5E-323
617700,3.35E-32,1.19E-29,2.03E-05,4.40E-46,0.0543557,0.27526,0.0183852,0.0195844,0.0858133,0.448465,1.5E-323
617800,3.12E-32,1.11E-29,1.90E-05,4.25E-46,0.0544313,0.275874,0.0184645,0.0197129,0.086251,0.446507,1.5E-323
617900,2.91E-32,1.04E-29,1.78E-05,4.11E-46,0.0544305,0.276113,0.0185187,0.0198182,0.0865919,0.444254,1.5E-323
618000,2.71E-32,9.70E-30,1.66E-05,3.96E-46,0.0542091,0.275082,0.0184592,0.0197791,0.0862711,0.445907,1.5E-323
618100,2.54E-32,9.07E-30,1.55E-05,3.83E-46,0.0541605,0.274803,0.018454,0.019779,0.0860875,0.446556,1.5E-323
618200,2.37E-32,8.49E-30,1.46E-05,3.71E-46,0.0543244,0.275799,0.0185726,0.0199409,0.0866586,0.445036,1.5E-323
618300,2.21E-32,7.93E-30,1.36E-05,3.60E-46,0.0544238,0.276444,0.0186708,0.0200773,0.0871185,0.443332,1.5E-323
618400,2.07E-32,7.43E-30,1.28E-05,3.48E-46,0.0546004,0.277658,0.0188057,0.0202854,0.087914,0.439882,1.5E-323
618500,1.94E-32,6.95E-30,1.20E-05,3.36E-46,0.0546408,0.278122,0.0188702,0.0204099,0.0883363,0.438154,1.5E-323
618600,1.81E-32,6.52E-30,1.13E-05,3.26E-46,0.0547562,0.278907,0.0189614,0.0205537,0.0888304,0.43671,1.5E-323
618700,1.70E-32,6.11E-30,1.06E-05,3.16E-46,0.0547669,0.279149,0.0190041,0.0206457,0.0890957,0.435349,1.5E-323
618800,1.59E-32,5.74E-30,9.95E-06,3.06E-46,0.0550316,0.280802,0.0191466,0.0208629,0.0899184,0.432939,1.5E-323
618900,1.49E-32,5.38E-30,9.33E-06,2.96E-46,0.0548746,0.280369,0.0190863,0.0208732,0.0898755,0.431734,1.5E-323
619000,1.40E-32,5.05E-30,8.78E-06,2.87E-46,0.0549088,0.280478,0.0190898,0.0208673,0.0896558,0.431671,1.5E-323
619100,1.31E-32,4.74E-30,8.25E-06,2.78E-46,0.0548804,0.280621,0.019088,0.0209196,0.0897643,0.431158,1.5E-323
619200,1.23E-32,4.44E-30,7.75E-06,2.69E-46,0.0547923,0.280353,0.0190554,0.020926,0.089646,0.429491,1.5E-323
619300,1.15E-32,4.18E-30,7.29E-06,2.61E-46,0.054707,0.279935,0.0189892,0.020862,0.0892041,0.43213,1.5E-323
619400,1.08E-32,3.92E-30,6.84E-06,2.53E-46,0.0546169,0.279507,0.0189282,0.0208109,0.0888067,0.433147,1.5E-323
619500,1.02E-32,3.69E-30,6.44E-06,2.45E-46,0.0546438,0.279668,0.0188937,0.0207862,0.0885175,0.433772,1.5E-323
619600,9.53E-33,3.46E-30,6.05E-06,2.38E-46,0.0545452,0.279098,0.0188095,0.0206889,0.0879069,0.435229,1.5E-323
619700,8.95E-33,3.25E-30,5.70E-06,2.31E-46,0.0544224,0.278577,0.0186282,0.0205072,0.0869497,0.437288,1.5E-323
619800,8.40E-33,3.06E-30,5.37E-06,2.24E-46,0.0544982,0.279112,0.0186017,0.0205061,0.0867889,0.438991,1.5E-323
619900,7.85E-33,2.86E-30,5.03E-06,2.16E-46,0.0542364,0.277848,0.018465,0.0203784,0.0860783,0.440665,1.5E-323
620000,7.35E-33,2.68E-30,4.71E-06,2.09E-46,0.0540636,0.276841,0.018351,0.0202357,0.08525,0.443676,1.5E-323
620100,6.85E-33,2.50E-30,4.40E-06,2.02E-46,0.0539331,0.276381,0.0183162,0.0202427,0.0851442,0.441371,1.5E-323
620200,6.41E-33,2.34E-30,4.13E-06,1.95E-46,0.053781,0.275578,0.0182115,0.0201333,0.0844835,0.444885,1.5E-323
620300,6.00E-33,2.19E-30,3.88E-06,1.89E-46,0.0539541,0.276835,0.0183072,0.0203107,0.0851452,0.443018,1.5E-323
620400,5.60E-33,2.05E-30,3.62E-06,1.83E-46,0.0537592,0.275848,0.0182525,0.020258,0.0847647,0.444694,1.5E-323
